#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SM11_chr1401	Chrs	SM11_chr1402	Chrs	regulated
AglR	SM11_chr1401	Chrs	SM11_chr1403	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr1404	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr1405	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr2035	Chrs	regulated
AglR	SM11_chr1401	Chrs	SM11_chr2036	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr2037	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr2038	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr3065	Chrs	regulated
AglR	SM11_chr1401	Chrs	SM11_chr3066	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr3067	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr3068	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_chr3774	Chrs	regulated
AglR	SM11_chr1401	Chrs	SM11_chr3775	Chrs	operon
AglR	SM11_chr1401	Chrs	SM11_pC1642	pSymB	regulated
AglR	SM11_chr1401	Chrs	SM11_pD0736	pSymA	regulated
AglR	SM11_chr1401	Chrs	SM11_pD0737	pSymA	regulated
BetI	SM11_chr0609	Chrs	SM11_chr0610	Chrs	regulated
BetI	SM11_chr0609	Chrs	SM11_pD0953	pSymA	regulated
ChpR	SM11_pD0211	pSymA	SM11_pD0212	pSymA	regulated
ExpG	SM11_pD0704	pSymA	SM11_pC0740	pSymB	regulated
ExpG	SM11_pD0704	pSymA	SM11_pC0741	pSymB	regulated
ExpG	SM11_pD0704	pSymA	SM11_pD0705	pSymA	regulated
ExpG	SM11_pD0704	pSymA	SM11_pD0706	pSymA	operon
ExpG	SM11_pD0704	pSymA	SM11_pD0707	pSymA	operon
FixK1	SM11_pC1165	pSymB	SM11_chr2221	Chrs	regulated
FixK1	SM11_pC1165	pSymB	SM11_chr2222	Chrs	regulated
FixK1	SM11_pC1165	pSymB	SM11_pC0195	pSymB	regulated
FixK1	SM11_pC1165	pSymB	SM11_pC0196	pSymB	regulated
FixK1	SM11_pC1165	pSymB	SM11_pC0963	pSymB	regulated
FixK1	SM11_pC1165	pSymB	SM11_pC0964	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC0965	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC0966	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC0967	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC0968	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC0969	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC1166	pSymB	regulated
FixK1	SM11_pC1165	pSymB	SM11_pC1167	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC1168	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC1169	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC1170	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC1171	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC1272	pSymB	regulated
FixK1	SM11_pC1165	pSymB	SM11_pC1308	pSymB	regulated
FixK1	SM11_pC1165	pSymB	SM11_pC1309	pSymB	operon
FixK1	SM11_pC1165	pSymB	SM11_pC1346	pSymB	regulated
FixK1	SM11_pC0964	pSymB	SM11_chr2221	Chrs	regulated
FixK1	SM11_pC0964	pSymB	SM11_chr2222	Chrs	regulated
FixK1	SM11_pC0964	pSymB	SM11_pC0195	pSymB	regulated
FixK1	SM11_pC0964	pSymB	SM11_pC0196	pSymB	regulated
FixK1	SM11_pC0964	pSymB	SM11_pC0963	pSymB	regulated
FixK1	SM11_pC0964	pSymB	SM11_pC0965	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC0966	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC0967	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC0968	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC0969	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC1166	pSymB	regulated
FixK1	SM11_pC0964	pSymB	SM11_pC1167	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC1168	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC1169	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC1170	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC1171	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC1272	pSymB	regulated
FixK1	SM11_pC0964	pSymB	SM11_pC1308	pSymB	regulated
FixK1	SM11_pC0964	pSymB	SM11_pC1309	pSymB	operon
FixK1	SM11_pC0964	pSymB	SM11_pC1346	pSymB	regulated
Fur	SM11_chr3204	Chrs	SM11_chr3205	Chrs	regulated
Fur	SM11_chr3204	Chrs	SM11_chr3206	Chrs	operon
Fur	SM11_chr3204	Chrs	SM11_chr3207	Chrs	operon
Fur	SM11_chr3204	Chrs	SM11_chr3208	Chrs	operon
Fur	SM11_chr3204	Chrs	SM11_pC1630	pSymB	regulated
GlnBK	SM11_chr1769	Chrs	SM11_chr0635	Chrs	regulated
GlnBK	SM11_chr1769	Chrs	SM11_chr0636	Chrs	operon
GlnBK	SM11_chr1769	Chrs	SM11_chr2484	Chrs	regulated
GlnBK	SM11_chr1769	Chrs	SM11_chr2485	Chrs	operon
GlnBK	SM11_chr1769	Chrs	SM11_chr2577	Chrs	regulated
GlnBK	SM11_chr1769	Chrs	SM11_chr2579	Chrs	regulated
GlnBK	SM11_chr1769	Chrs	SM11_chr2580	Chrs	regulated
GlnBK	SM11_chr1769	Chrs	SM11_chr2581	Chrs	operon
GlnBK	SM11_chr1769	Chrs	SM11_chr3687	Chrs	regulated
GlnBK	SM11_chr1769	Chrs	SM11_chr3688	Chrs	regulated
GlnBK	SM11_chr1769	Chrs	SM11_chr3689	Chrs	operon
GlnBK	SM11_chr1769	Chrs	SM11_chr3690	Chrs	operon
GlnBK	SM11_chr1769	Chrs	SM11_pD0573	pSymA	regulated
GlnBK	SM11_chr3316	Chrs	SM11_chr0635	Chrs	regulated
GlnBK	SM11_chr3316	Chrs	SM11_chr0636	Chrs	operon
GlnBK	SM11_chr3316	Chrs	SM11_chr2484	Chrs	regulated
GlnBK	SM11_chr3316	Chrs	SM11_chr2485	Chrs	operon
GlnBK	SM11_chr3316	Chrs	SM11_chr2577	Chrs	regulated
GlnBK	SM11_chr3316	Chrs	SM11_chr2579	Chrs	regulated
GlnBK	SM11_chr3316	Chrs	SM11_chr2580	Chrs	regulated
GlnBK	SM11_chr3316	Chrs	SM11_chr2581	Chrs	operon
GlnBK	SM11_chr3316	Chrs	SM11_chr3687	Chrs	regulated
GlnBK	SM11_chr3316	Chrs	SM11_chr3688	Chrs	regulated
GlnBK	SM11_chr3316	Chrs	SM11_chr3689	Chrs	operon
GlnBK	SM11_chr3316	Chrs	SM11_chr3690	Chrs	operon
GlnBK	SM11_chr3316	Chrs	SM11_pD0573	pSymA	regulated
HpdR	SM11_chr3113	Chrs	SM11_chr3114	Chrs	regulated
IolR	SM11_chr3832	Chrs	SM11_chr0283	Chrs	regulated
IolR	SM11_chr3832	Chrs	SM11_chr0284	Chrs	operon
IolR	SM11_chr3832	Chrs	SM11_chr2167	Chrs	regulated
IolR	SM11_chr3832	Chrs	SM11_chr2168	Chrs	regulated
IolR	SM11_chr3832	Chrs	SM11_chr3570	Chrs	regulated
IolR	SM11_chr3832	Chrs	SM11_chr3571	Chrs	operon
IolR	SM11_chr3832	Chrs	SM11_chr3572	Chrs	operon
IolR	SM11_chr3832	Chrs	SM11_chr3831	Chrs	regulated
IolR	SM11_chr3832	Chrs	SM11_pC0020	pSymB	regulated
IolR	SM11_chr3832	Chrs	SM11_pC0021	pSymB	regulated
IolR	SM11_chr3832	Chrs	SM11_pC0176	pSymB	regulated
IolR	SM11_chr3832	Chrs	SM11_pC0177	pSymB	regulated
IolR	SM11_chr3832	Chrs	SM11_pC1429	pSymB	regulated
IolR	SM11_chr3832	Chrs	SM11_pC1430	pSymB	operon
IolR	SM11_chr3832	Chrs	SM11_pD0200	pSymA	regulated
IolR	SM11_chr3832	Chrs	SM11_pD0405	pSymA	regulated
IolR	SM11_chr3832	Chrs	SM11_pD0838	pSymA	regulated
IolR	SM11_chr3832	Chrs	SM11_pD0839	pSymA	regulated
IolR	SM11_chr3832	Chrs	SM11_pD0955	pSymA	regulated
IolR	SM11_chr3832	Chrs	SM11_pD0956	pSymA	regulated
IolR	SM11_chr3832	Chrs	SM11_pD0957	pSymA	operon
IolR	SM11_chr3832	Chrs	SM11_pD0958	pSymA	operon
IolR	SM11_chr3832	Chrs	SM11_pD0959	pSymA	operon
IolR	SM11_chr3832	Chrs	SM11_pD0960	pSymA	operon
IolR	SM11_chr3832	Chrs	SM11_pD1523	pSymA	regulated
LsrAB1	SM11_chr1999	Chrs	SM11_pC1537	pSymB	regulated
LsrAB1	SM11_chr0616	Chrs	SM11_pC1537	pSymB	regulated
MucR	SM11_chr0659	Chrs	SM11_chr0317	Chrs	regulated
MucR	SM11_chr0659	Chrs	SM11_pD0702	pSymA	regulated
NesR	SM11_chr2981	Chrs	SM11_chr0045	Chrs	regulated
NesR	SM11_chr2981	Chrs	SM11_chr0046	Chrs	operon
NesR	SM11_chr2981	Chrs	SM11_chr1117	Chrs	regulated
NesR	SM11_chr2981	Chrs	SM11_chr1118	Chrs	operon
NesR	SM11_chr2981	Chrs	SM11_chr1358	Chrs	regulated
NesR	SM11_chr2981	Chrs	SM11_chr3156	Chrs	regulated
NesR	SM11_chr2981	Chrs	SM11_chr3157	Chrs	operon
NesR	SM11_chr2981	Chrs	SM11_chr3158	Chrs	operon
NesR	SM11_chr2981	Chrs	SM11_chr3503	Chrs	regulated
NifA	SM11_pC1131	pSymB	SM11_chr1859	Chrs	regulated
NifA	SM11_pC1131	pSymB	SM11_chr1860	Chrs	regulated
NifA	SM11_pC1131	pSymB	SM11_pC0186	pSymB	regulated
NifA	SM11_pC1131	pSymB	SM11_pC0187	pSymB	regulated
NifA	SM11_pC1131	pSymB	SM11_pC0188	pSymB	operon
NifA	SM11_pC1131	pSymB	SM11_pC0311	pSymB	regulated
NifA	SM11_pC1131	pSymB	SM11_pC1125	pSymB	regulated
NifA	SM11_pC1131	pSymB	SM11_pC1126	pSymB	regulated
NifA	SM11_pC1131	pSymB	SM11_pC1127	pSymB	regulated
NifA	SM11_pC1131	pSymB	SM11_pC1128	pSymB	operon
NifA	SM11_pC1131	pSymB	SM11_pC1129	pSymB	operon
NifA	SM11_pC1131	pSymB	SM11_pC1130	pSymB	operon
NodD1	SM11_pC1074	pSymB	SM11_pC1068	pSymB	regulated
NodD1	SM11_pC1074	pSymB	SM11_pC1090	pSymB	regulated
NodD1	SM11_pC1074	pSymB	SM11_pC1091	pSymB	regulated
NodD1	SM11_pC1074	pSymB	SM11_pC1157	pSymB	regulated
NodD2	SM11_pC1179	pSymB	SM11_pC1068	pSymB	regulated
NodD2	SM11_pC1179	pSymB	SM11_pC1090	pSymB	regulated
NodD2	SM11_pC1179	pSymB	SM11_pC1091	pSymB	regulated
NodD2	SM11_pC1179	pSymB	SM11_pC1157	pSymB	regulated
NodD3	SM11_pC1113	pSymB	SM11_pC1068	pSymB	regulated
NodD3	SM11_pC1113	pSymB	SM11_pC1090	pSymB	regulated
NodD3	SM11_pC1113	pSymB	SM11_pC1091	pSymB	regulated
NodD3	SM11_pC1113	pSymB	SM11_pC1157	pSymB	regulated
NtrR	SM11_chr2569	Chrs	SM11_chr2568	Chrs	regulated
OxyR	SM11_chr0417	Chrs	SM11_chr0418	Chrs	regulated
PcaQ	SM11_pD0132	pSymA	SM11_chr1204	Chrs	regulated
PcaQ	SM11_pD0132	pSymA	SM11_chr1205	Chrs	regulated
PcaQ	SM11_pD0132	pSymA	SM11_chr1206	Chrs	operon
PcaQ	SM11_pD0132	pSymA	SM11_chr3588	Chrs	regulated
PcaQ	SM11_pD0132	pSymA	SM11_chr3589	Chrs	regulated
PcaQ	SM11_pD0132	pSymA	SM11_chr3637	Chrs	regulated
PcaQ	SM11_pD0132	pSymA	SM11_pC0747	pSymB	regulated
PcaQ	SM11_pD0132	pSymA	SM11_pC1340	pSymB	regulated
PcaQ	SM11_pD0132	pSymA	SM11_pD0105	pSymA	regulated
PcaQ	SM11_pD0132	pSymA	SM11_pD0133	pSymA	regulated
PcaQ	SM11_pD0132	pSymA	SM11_pD0134	pSymA	operon
PcaQ	SM11_pD0132	pSymA	SM11_pD0135	pSymA	operon
PcaQ	SM11_pD0132	pSymA	SM11_pD0136	pSymA	operon
PcaQ	SM11_pD0132	pSymA	SM11_pD0137	pSymA	operon
PckR	SM11_chr3035	Chrs	SM11_chr0317	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0334	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0335	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0336	Chrs	operon
PckR	SM11_chr3035	Chrs	SM11_chr0337	Chrs	operon
PckR	SM11_chr3035	Chrs	SM11_chr0338	Chrs	operon
PckR	SM11_chr3035	Chrs	SM11_chr0339	Chrs	operon
PckR	SM11_chr3035	Chrs	SM11_chr0343	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0348	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0412	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0413	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0675	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0676	Chrs	regulated
PckR	SM11_chr3035	Chrs	SM11_chr0696	Chrs	regulated
