AglR	RHE_CH02462	RHE_CH02461	regulated
BetI	RHE_CH01138	RHE_CH01139	regulated
ChvI	RHE_CH00036	RHE_CH01951	regulated
ChvI	RHE_CH00036	RHE_CH01952	operon
FixK1	RHE_PF00508	RHE_CH01480	regulated
FixK1	RHE_PF00508	RHE_CH01481	regulated
FixK1	RHE_PF00508	RHE_CH02478	regulated
FixK1	RHE_PF00508	RHE_CH02479	regulated
FixK1	RHE_PF00508	RHE_PD00216	regulated
FixK1	RHE_PF00508	RHE_PF00277	regulated
FixK1	RHE_PF00508	RHE_PF00278	regulated
FixK1	RHE_PF00508	RHE_PF00279	operon
FixK1	RHE_PF00508	RHE_PF00280	operon
FixK1	RHE_PF00508	RHE_PF00326	regulated
Fur	RHE_CH00378	RHE_CH03956	regulated
Fur	RHE_CH00378	RHE_CH03957	regulated
Fur	RHE_CH00378	RHE_CH03958	operon
GlnBK	RHE_CH02103	RHE_CH00736	regulated
GlnBK	RHE_CH02103	RHE_CH00737	operon
GlnBK	RHE_CH02103	RHE_CH00738	operon
GlnBK	RHE_CH02103	RHE_CH00739	operon
GlnBK	RHE_CH02103	RHE_CH00740	operon
GlnBK	RHE_CH02103	RHE_CH02382	regulated
GlnBK	RHE_CH02103	RHE_CH02383	regulated
GlnBK	RHE_CH02103	RHE_CH02683	regulated
GlnBK	RHE_CH02103	RHE_CH02684	operon
GlnBK	RHE_CH02103	RHE_CH02912	regulated
GlnBK	RHE_CH02103	RHE_CH02913	regulated
GlnBK	RHE_CH02103	RHE_CH03076	regulated
GlnBK	RHE_CH02103	RHE_CH03266	regulated
GlnBK	RHE_CH02103	RHE_CH03267	regulated
GlnBK	RHE_CH02103	RHE_CH03268	operon
GlnBK	RHE_CH02103	RHE_CH03269	operon
GlnBK	RHE_CH02103	RHE_CH03270	operon
GlnBK	RHE_CH03974	RHE_CH00736	regulated
GlnBK	RHE_CH03974	RHE_CH00737	operon
GlnBK	RHE_CH03974	RHE_CH00738	operon
GlnBK	RHE_CH03974	RHE_CH00739	operon
GlnBK	RHE_CH03974	RHE_CH00740	operon
GlnBK	RHE_CH03974	RHE_CH02382	regulated
GlnBK	RHE_CH03974	RHE_CH02383	regulated
GlnBK	RHE_CH03974	RHE_CH02683	regulated
GlnBK	RHE_CH03974	RHE_CH02684	operon
GlnBK	RHE_CH03974	RHE_CH02912	regulated
GlnBK	RHE_CH03974	RHE_CH02913	regulated
GlnBK	RHE_CH03974	RHE_CH03076	regulated
GlnBK	RHE_CH03974	RHE_CH03266	regulated
GlnBK	RHE_CH03974	RHE_CH03267	regulated
GlnBK	RHE_CH03974	RHE_CH03268	operon
GlnBK	RHE_CH03974	RHE_CH03269	operon
GlnBK	RHE_CH03974	RHE_CH03270	operon
HpdR	RHE_CH01744	RHE_CH02630	regulated
HpdR	RHE_CH01744	RHE_PF00326	regulated
IolR	RHE_CH01345	RHE_CH00036	regulated
IolR	RHE_CH01345	RHE_CH00037	regulated
IolR	RHE_CH01345	RHE_CH00038	operon
IolR	RHE_CH01345	RHE_CH00039	operon
IolR	RHE_CH01345	RHE_CH00464	regulated
IolR	RHE_CH01345	RHE_CH00465	regulated
IolR	RHE_CH01345	RHE_CH00466	operon
IolR	RHE_CH01345	RHE_CH00467	operon
IolR	RHE_CH01345	RHE_CH00468	operon
