AglR	mlr3320	mll3319	regulated
BetI	mll7613	mlr7614	regulated
FixJ	mll6606	mll4005	regulated
FixJ	mll6606	mll7879	regulated
FixK1	mll6578	mll4710	regulated
FixK1	mll6578	mll5285	regulated
FixK1	mll6578	mll6600	regulated
FixK1	mll6578	mll6630	regulated
FixK1	mll6578	mlr0378	regulated
FixK1	mll6578	mlr0845	regulated
FixK1	mll6578	mlr4711	regulated
FixK1	mll6578	mlr6601	regulated
FixK1	mll6578	mlr6631	regulated
FixK1	mll6578	mlr7688	regulated
FixK1	mll6578	mlr7689	operon
FixK1	mll6578	mlr7690	operon
FixK1	mll6578	mlr7691	operon
FixK1	mll6578	msl0377	regulated
FixK1	mll6578	msl4331	regulated
FixK1	mll6578	msr5734	regulated
GlnBK	mll0345	mll3493	regulated
GlnBK	mll0345	mll5522	regulated
GlnBK	mll0345	mlr3495	regulated
GlnBK	mll0345	mlr3497	operon
GlnBK	mll0345	mlr3498	operon
GlnBK	mll0345	mlr5523	regulated
GlnBK	mll0345	mlr8225	regulated
GlnBK	mll0345	mlr8227	operon
GlnBK	mll0345	mlr8228	operon
GlnBK	mll0345	mlr8229	operon
GlnBK	mll4247	mll3493	regulated
GlnBK	mll4247	mll5522	regulated
GlnBK	mll4247	mlr3495	regulated
GlnBK	mll4247	mlr3497	operon
GlnBK	mll4247	mlr3498	operon
GlnBK	mll4247	mlr5523	regulated
GlnBK	mll4247	mlr8225	regulated
GlnBK	mll4247	mlr8227	operon
GlnBK	mll4247	mlr8228	operon
GlnBK	mll4247	mlr8229	operon
HpdR	mlr8310	mll9597	regulated
IolR	mll4983	mll0583	regulated
IolR	mll4983	mll1004	regulated
IolR	mll4983	mll1462	regulated
IolR	mll4983	mll1463	operon
IolR	mll4983	mll1464	operon
IolR	mll4983	mll1465	operon
IolR	mll4983	mll2233	regulated
IolR	mll4983	mll3224	regulated
IolR	mll4983	mll3319	regulated
IolR	mll4983	mll3713	regulated
IolR	mll4983	mll3879	regulated
IolR	mll4983	mll3939	regulated
IolR	mll4983	mll4019	operon
IolR	mll4983	mll4982	regulated
IolR	mll4983	mll4996	regulated
IolR	mll4983	mll5095	regulated
IolR	mll4983	mll6760	regulated
IolR	mll4983	mll6782	regulated
IolR	mll4983	mll6783	operon
IolR	mll4983	mll6832	regulated
IolR	mll4983	mll7326	regulated
IolR	mll4983	mll7567	regulated
IolR	mll4983	mll7623	regulated
IolR	mll4983	mll9597	regulated
IolR	mll4983	mlr1005	regulated
IolR	mll4983	mlr2234	regulated
IolR	mll4983	mlr3320	regulated
IolR	mll4983	mlr3334	regulated
IolR	mll4983	mlr3336	operon
IolR	mll4983	mlr3338	operon
IolR	mll4983	mlr3340	operon
IolR	mll4983	mlr3714	regulated
IolR	mll4983	mlr3786	regulated
IolR	mll4983	mlr3880	regulated
IolR	mll4983	mlr3941	regulated
IolR	mll4983	mlr3943	operon
IolR	mll4983	mlr4984	regulated
IolR	mll4983	mlr5033	regulated
IolR	mll4983	mlr5096	regulated
IolR	mll4983	mlr5097	operon
IolR	mll4983	mlr5544	regulated
IolR	mll4983	mlr6102	regulated
IolR	mll4983	mlr6103	operon
IolR	mll4983	mlr6658	regulated
IolR	mll4983	mlr6761	regulated
IolR	mll4983	mlr7328	regulated
IolR	mll4983	mlr7568	regulated
IolR	mll4983	mlr7570	operon
IolR	mll4983	mlr7624	regulated
IolR	mll4983	msl2054	regulated
IolR	mll4983	msl4017	regulated
IolR	mll4983	msr0584	regulated
IolR	mll4983	msr2235	operon
LsrAB1	mll7397	mll6834	regulated
LsrAB1	mll7397	msr8479	regulated
LsrAB1	mll2551	mll6834	regulated
LsrAB1	mll2551	msr8479	regulated
NodD3	mll6179	mlr6161	regulated
NodD3	mll6179	mlr6163	operon
NodD3	mll6179	mlr8755	operon
PcaQ	mll7205	mll1121	regulated
PcaQ	mll7205	mll1589	regulated
PcaQ	mll7205	mll2196	regulated
PcaQ	mll7205	mll2816	regulated
PcaQ	mll7205	mll4621	regulated
PcaQ	mll7205	mll6421	regulated
PcaQ	mll7205	mlr1122	regulated
PcaQ	mll7205	mlr1123	operon
PcaQ	mll7205	mlr1590	regulated
PcaQ	mll7205	mlr1592	operon
PcaQ	mll7205	mlr2197	regulated
PcaQ	mll7205	mlr2198	operon
PcaQ	mll7205	mlr2199	operon
