#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	KH30Av1_50087	Chrs	KH30Av1_1190022	Chrs	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_20006	Chrs	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_20007	Chrs	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_210045	Chrs	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_210046	Chrs	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_50089	Chrs	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_50090	Chrs	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_50091	Chrs	operon
AglR	KH30Av1_50087	Chrs	KH30Av1_50092	Chrs	operon
AglR	KH30Av1_50087	Chrs	KH30Av1_50093	Chrs	operon
AglR	KH30Av1_50087	Chrs	KH30Av1_710136	Chrs	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_710137	Chrs	operon
AglR	KH30Av1_50087	Chrs	KH30Av1_710138	Chrs	operon
AglR	KH30Av1_50087	Chrs	KH30Av1_710139	Chrs	operon
AglR	KH30Av1_50087	Chrs	KH30Av1_psym1010119	pSymA	regulated
AglR	KH30Av1_50087	Chrs	KH30Av1_psym1010120	pSymA	operon
AglR	KH30Av1_50087	Chrs	KH30Av1_psym1010193	pSymA	regulated
BetI	KH30Av1_820176	Chrs	KH30Av1_820177	Chrs	regulated
BetI	KH30Av1_820176	Chrs	KH30Av1_pld1480019	pSymB	regulated
BetI	KH30Av1_820176	Chrs	KH30Av1_pld1480020	pSymB	operon
BetI	KH30Av1_820176	Chrs	KH30Av1_pld1480021	pSymB	operon
ChpR	KH30Av1_pld1030082	pSymB	KH30Av1_pld1030081	pSymB	regulated
ChvI	KH30Av1_830005	Chrs	KH30Av1_720012	Chrs	regulated
ChvI	KH30Av1_830005	Chrs	KH30Av1_720013	Chrs	operon
ChvI	KH30Av1_830005	Chrs	KH30Av1_830006	Chrs	operon
ChvI	KH30Av1_830005	Chrs	KH30Av1_830007	Chrs	operon
DctD	KH30Av1_pld1020118	pSymB	KH30Av1_psym1010190	pSymA	regulated
ExpG	KH30Av1_pld390047	pSymB	KH30Av1_pld390046	pSymB	regulated
ExpG	KH30Av1_pld390047	pSymB	KH30Av1_psym1310161	pSymA	regulated
ExpG	KH30Av1_pld390047	pSymB	KH30Av1_psym1310162	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_1410016	Chrs	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_1410017	Chrs	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_1410018	Chrs	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_420012	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_740047	Chrs	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820119	Chrs	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820120	Chrs	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820121	Chrs	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820122	Chrs	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820123	Chrs	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820124	Chrs	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820125	Chrs	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820126	Chrs	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_820127	Chrs	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_970003	pSymB	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_970004	pSymB	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_pld480006	UnMapped	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_pld480007	UnMapped	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym1320005	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym1320006	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym1320033	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym1320034	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym1330016	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym1350067	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym1350068	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym220076	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym220077	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym220078	pSymA	operon
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym590010	pSymA	regulated
FixJ	KH30Av1_psym1320004	pSymA	KH30Av1_psym590011	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_1410016	Chrs	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_1410017	Chrs	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_1410018	Chrs	operon
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820119	Chrs	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820120	Chrs	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820121	Chrs	operon
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820122	Chrs	operon
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820123	Chrs	operon
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820124	Chrs	operon
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820125	Chrs	operon
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820126	Chrs	operon
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_820127	Chrs	operon
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_970003	pSymB	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_970004	pSymB	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_pld480006	UnMapped	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_pld480007	UnMapped	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym1320005	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym1320033	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym1320034	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym1330016	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym1350067	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym1350068	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym220076	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym220077	pSymA	regulated
FixK1	KH30Av1_psym1320006	pSymA	KH30Av1_psym220078	pSymA	operon
