#orth_id	prot_id
Rhizo13688	mll0899
Rhizo13689	mll0900
Rhizo4148	RHE_CH03900
Rhizo4148	SMc03227
Rhizo4148	NGR_c32150
Rhizo4148	Smed_2962
Rhizo4148	RL4491
Rhizo4148	mlr4228
Rhizo4149	RHE_CH03901
Rhizo4149	RL4492
Rhizo4149	SMc03228
Rhizo4149	NGR_c32140
Rhizo4149	msr4226
Rhizo4149	Smed_2963
Rhizo4146	RHE_CH03898
Rhizo4146	RL4447
Rhizo4147	RHE_CH03899
Rhizo4147	SMc03226
Rhizo4147	NGR_c32160
Rhizo4147	Smed_2961
Rhizo4147	RL4490
Rhizo4147	mlr4229
Rhizo4144	RHE_CH03896
Rhizo4144	SMc02464
Rhizo4144	NGR_c31360
Rhizo4144	Smed_2958
Rhizo4144	RL4445
Rhizo4144	mll4265
Rhizo4145	RHE_CH03897
Rhizo4145	NGR_c31370
Rhizo4145	Smed_2959
Rhizo4145	SMc02463
Rhizo4145	mll4266
Rhizo4145	RL4446
Rhizo4142	RHE_CH03894
Rhizo4142	Smed_2956
Rhizo4142	SMc02466
Rhizo4142	NGR_c31340
Rhizo4142	RL4443
Rhizo4142	mll4260
Rhizo4143	RHE_CH03895
Rhizo4143	Smed_2957
Rhizo4143	SMc02465
Rhizo4143	NGR_c31350
Rhizo4143	RL4444
Rhizo4143	mll4263
Rhizo4140	RHE_CH03892
Rhizo4140	NGR_c31310
Rhizo4140	SMc02478
Rhizo4140	RL4440
Rhizo4140	Smed_2945
Rhizo4140	mll4310
Rhizo4141	RHE_CH03893
Rhizo4141	NGR_c31320
Rhizo4141	SMc02475
Rhizo4141	Smed_2946
Rhizo4141	RL4441
Rhizo4141	mll4312
Rhizo9854	NGR_c01360
Rhizo10269	NGR_c22580
Rhizo10268	NGR_c22570
Rhizo10265	NGR_c22540
Rhizo10264	NGR_c22530
Rhizo10267	NGR_c22560
Rhizo10266	NGR_c22550
Rhizo10261	NGR_c22500
Rhizo10260	NGR_c22490
Rhizo10263	NGR_c22520
Rhizo10262	NGR_c22510
Rhizo10847	pRL90219
Rhizo13683	mll0893
Rhizo13680	mll0888
Rhizo3882	RHE_CH03625
Rhizo3882	NGR_c29210
Rhizo3882	Smed_2767
Rhizo3882	SMc02978
Rhizo3882	mll5156
Rhizo3882	RL4148
Rhizo873	RHE_CH00553
Rhizo873	NGR_c01720
Rhizo873	Smed_0149
Rhizo873	SMc02234
Rhizo873	mll5621
Rhizo873	RL0586
Rhizo3880	RHE_CH03623
Rhizo3880	Smed_2765
Rhizo3880	NGR_c29190
Rhizo3880	SMc02976
Rhizo3880	RL4146
