#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_1600012	Chrs	regulated
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_1600013	Chrs	operon
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_1600014	Chrs	operon
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_1600015	Chrs	operon
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_1600016	Chrs	operon
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_1650006	Chrs	regulated
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_2530009	Chrs	regulated
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_2530010	Chrs	regulated
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_psym2250038	pSymA	regulated
AglR	KH35Cv1_2530011	Chrs	KH35Cv1_psym2250039	pSymA	regulated
BetI	KH35Cv1_2650035	Chrs	KH35Cv1_2650034	Chrs	regulated
ChpR	KH35Cv1_pld720063	pSymB	KH35Cv1_pld720064	pSymB	regulated
ChvI	KH35Cv1_330005	Chrs	KH35Cv1_1470011	Chrs	regulated
ChvI	KH35Cv1_330005	Chrs	KH35Cv1_1470012	Chrs	operon
ChvI	KH35Cv1_330005	Chrs	KH35Cv1_330006	Chrs	operon
ChvI	KH35Cv1_330005	Chrs	KH35Cv1_330007	Chrs	operon
ExpG	KH35Cv1_pld1680090	pSymB	KH35Cv1_pld1680091	pSymB	regulated
ExpG	KH35Cv1_pld1680090	pSymB	KH35Cv1_pld1680092	pSymB	operon
FixJ	KH35Cv1_psym1180005	pSymA	KH35Cv1_2490082	Chrs	regulated
FixJ	KH35Cv1_psym1180005	pSymA	KH35Cv1_psym1180006	pSymA	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_1750006	pSymA	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_1860012	Chrs	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2190004	Chrs	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2190005	Chrs	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2310077	Chrs	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2310078	Chrs	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2310079	Chrs	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2310080	Chrs	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2310081	Chrs	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2310082	Chrs	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2310083	Chrs	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2390004	Chrs	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2390005	Chrs	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_2490082	Chrs	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_psym1180001	pSymA	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_psym1180004	pSymA	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_psym1180005	pSymA	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_psym1180006	pSymA	operon
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_psym1190001	pSymA	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_psym1760052	pSymA	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_psym960031	pSymA	regulated
FixK1	KH35Cv1_psym1190002	pSymA	KH35Cv1_psym960032	pSymA	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_1750006	pSymA	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_1860012	Chrs	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2190004	Chrs	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2190005	Chrs	operon
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2310077	Chrs	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2310078	Chrs	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2310079	Chrs	operon
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2310080	Chrs	operon
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2310081	Chrs	operon
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2310082	Chrs	operon
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2310083	Chrs	operon
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2390004	Chrs	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2390005	Chrs	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_2490082	Chrs	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_psym1180001	pSymA	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_psym1180004	pSymA	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_psym1180005	pSymA	operon
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_psym1180006	pSymA	operon
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_psym1190001	pSymA	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_psym1760052	pSymA	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_psym960031	pSymA	regulated
FixK1	KH35Cv1_psym1180003	pSymA	KH35Cv1_psym960032	pSymA	regulated
Fur	KH35Cv1_1670047	Chrs	KH35Cv1_1670048	Chrs	regulated
Fur	KH35Cv1_1670047	Chrs	KH35Cv1_1670049	Chrs	operon
Fur	KH35Cv1_1670047	Chrs	KH35Cv1_1670050	Chrs	operon
Fur	KH35Cv1_1670047	Chrs	KH35Cv1_1670051	Chrs	operon
Fur	KH35Cv1_1670047	Chrs	KH35Cv1_310011	UnMapped	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_1470070	Chrs	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_1470071	Chrs	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_2650006	Chrs	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_470019	Chrs	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_470020	Chrs	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_470021	Chrs	operon
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_470022	Chrs	operon
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_810002	Chrs	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_880017	Chrs	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_psym1350049	pSymA	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_psym1350056	pSymA	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_psym1350057	pSymA	regulated
GlnBK	KH35Cv1_1330014	Chrs	KH35Cv1_psym1350058	pSymA	operon
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_1470070	Chrs	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_1470071	Chrs	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_2650006	Chrs	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_470019	Chrs	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_470020	Chrs	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_470021	Chrs	operon
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_470022	Chrs	operon
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_810002	Chrs	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_880017	Chrs	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_psym1350049	pSymA	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_psym1350056	pSymA	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_psym1350057	pSymA	regulated
GlnBK	KH35Cv1_280002	Chrs	KH35Cv1_psym1350058	pSymA	operon
HpdR	KH35Cv1_670032	Chrs	KH35Cv1_670031	Chrs	regulated
HpdR	KH35Cv1_670032	Chrs	KH35Cv1_70001	pRmeGR4a	regulated
IolR	KH35Cv1_2220003	Chrs	KH35Cv1_1370026	Chrs	regulated
