#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SMC438_002456	Chrs	SMC438_000939	Chrs	regulated
AglR	SMC438_002456	Chrs	SMC438_000940	Chrs	operon
AglR	SMC438_002456	Chrs	SMC438_000941	Chrs	operon
AglR	SMC438_002456	Chrs	SMC438_002455	Chrs	regulated
AglR	SMC438_002456	Chrs	SMC438_006196	pSymB	regulated
AglR	SMC438_002456	Chrs	SMC438_006197	pSymB	regulated
BetI	SMC438_001760	Chrs	SMC438_000465	pSymB	regulated
BetI	SMC438_001760	Chrs	SMC438_000466	pSymB	operon
BetI	SMC438_001760	Chrs	SMC438_000467	pSymB	operon
BetI	SMC438_001760	Chrs	SMC438_001761	Chrs	regulated
ChpR	SMC438_005479	pSymB	SMC438_005478	pSymB	regulated
DctD	SMC438_004084	pSymB	SMC438_002634	pSymA	regulated
ExpG	SMC438_002571	pSymB	SMC438_002568	pSymB	regulated
ExpG	SMC438_002571	pSymB	SMC438_002572	pSymB	regulated
ExpG	SMC438_002571	pSymB	SMC438_004756	pSymA	regulated
ExpG	SMC438_002571	pSymB	SMC438_004757	pSymA	regulated
ExpG	SMC438_002571	pSymB	SMC438_004758	pSymA	operon
ExpG	SMC438_002571	pSymB	SMC438_004759	pSymA	operon
ExpG	SMC438_002571	pSymB	SMC438_006167	pSymB	regulated
FixK1	SMC438_002957	pSymA	SMC438_000844	UnMapped	regulated
FixK1	SMC438_002957	pSymA	SMC438_003050	pSymA	regulated
FixK1	SMC438_002957	pSymA	SMC438_003051	pSymA	regulated
FixK1	SMC438_002957	pSymA	SMC438_005915	pSymA	regulated
Fur	SMC438_007205	Chrs	SMC438_002648	pSymA	regulated
Fur	SMC438_007205	Chrs	SMC438_007206	Chrs	regulated
Fur	SMC438_007205	Chrs	SMC438_007207	Chrs	operon
Fur	SMC438_007205	Chrs	SMC438_007208	Chrs	operon
Fur	SMC438_007205	Chrs	SMC438_007209	Chrs	operon
GlnBK	SMC438_000320	Chrs	SMC438_000310	Chrs	regulated
GlnBK	SMC438_000320	Chrs	SMC438_000794	Chrs	regulated
GlnBK	SMC438_004107	Chrs	SMC438_000310	Chrs	regulated
GlnBK	SMC438_004107	Chrs	SMC438_000794	Chrs	regulated
HpdR	SMC438_000963	Chrs	SMC438_000964	Chrs	regulated
HpdR	SMC438_000963	Chrs	SMC438_001000	Chrs	regulated
HpdR	SMC438_000963	Chrs	SMC438_001001	Chrs	operon
IolR	SMC438_004159	Chrs	SMC438_000218	pSymB	regulated
IolR	SMC438_004159	Chrs	SMC438_000944	Chrs	regulated
