#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_01916	Chrs	regulated
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_01917	Chrs	operon
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_01918	Chrs	operon
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_01919	Chrs	operon
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_02239	Chrs	regulated
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_02726	pSymB	regulated
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_02727	pSymB	regulated
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_02728	pSymB	operon
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_02729	pSymB	operon
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_02730	pSymB	operon
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_03589	pSymA	regulated
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_04512	Chrs	regulated
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_04513	Chrs	operon
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_04514	Chrs	operon
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_05943	pSymB	regulated
AglR	SinmeBODRAFT_02240	Chrs	SinmeBODRAFT_05944	pSymB	operon
BetI	SinmeBODRAFT_01592	Chrs	SinmeBODRAFT_01593	Chrs	regulated
ChpR	SinmeBODRAFT_03243	pSymB	SinmeBODRAFT_03242	pSymB	regulated
ChvI	SinmeBODRAFT_05671	pSymB	SinmeBODRAFT_05167	Chrs	regulated
ChvI	SinmeBODRAFT_05671	pSymB	SinmeBODRAFT_05168	Chrs	operon
DctD	SinmeBODRAFT_06116	pSymB	SinmeBODRAFT_06114	pSymB	regulated
ExpG	SinmeBODRAFT_02757	pSymB	SinmeBODRAFT_02754	pSymB	regulated
ExpG	SinmeBODRAFT_02757	pSymB	SinmeBODRAFT_02755	pSymB	operon
ExpG	SinmeBODRAFT_02757	pSymB	SinmeBODRAFT_02756	pSymB	operon
ExpG	SinmeBODRAFT_02757	pSymB	SinmeBODRAFT_02759	pSymB	regulated
ExpG	SinmeBODRAFT_02757	pSymB	SinmeBODRAFT_02760	pSymB	operon
ExpG	SinmeBODRAFT_02757	pSymB	SinmeBODRAFT_02761	pSymB	operon
ExpG	SinmeBODRAFT_02757	pSymB	SinmeBODRAFT_02762	pSymB	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_00061	UnMapped	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_00211	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_01543	Chrs	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_01544	Chrs	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_01545	Chrs	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_03672	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_03673	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04118	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04119	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04120	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04121	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04897	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04898	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04899	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04900	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04901	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04902	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04903	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04904	pSymA	operon
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04920	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04923	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04952	pSymA	regulated
FixK1	SinmeBODRAFT_04117	pSymA	SinmeBODRAFT_04953	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_00061	UnMapped	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_00211	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_01543	Chrs	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_01544	Chrs	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_01545	Chrs	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_03672	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_03673	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04118	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04119	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04120	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04121	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04897	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04898	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04899	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04900	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04901	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04902	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04903	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04904	pSymA	operon
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04920	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04923	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04952	pSymA	regulated
FixK1	SinmeBODRAFT_04922	pSymA	SinmeBODRAFT_04953	pSymA	regulated
Fur	SinmeBODRAFT_02083	Chrs	SinmeBODRAFT_00497	UnMapped	regulated
Fur	SinmeBODRAFT_02083	Chrs	SinmeBODRAFT_02084	Chrs	regulated
Fur	SinmeBODRAFT_02083	Chrs	SinmeBODRAFT_02085	Chrs	operon
Fur	SinmeBODRAFT_02083	Chrs	SinmeBODRAFT_02086	Chrs	operon
Fur	SinmeBODRAFT_02083	Chrs	SinmeBODRAFT_02087	Chrs	operon
Fur	SinmeBODRAFT_02083	Chrs	SinmeBODRAFT_03600	pSymA	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_01167	Chrs	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_01619	Chrs	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_01620	Chrs	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_02886	pSymB	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_02887	pSymB	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_02888	pSymB	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_02889	pSymB	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_03424	pSymA	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_03432	pSymA	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_03433	pSymA	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_03434	pSymA	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_03907	Chrs	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_03908	Chrs	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_03909	Chrs	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05262	Chrs	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05264	Chrs	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05265	Chrs	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05266	Chrs	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05267	Chrs	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05268	Chrs	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05850	pSymB	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05851	pSymB	regulated
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05852	pSymB	operon
GlnBK	SinmeBODRAFT_02195	Chrs	SinmeBODRAFT_05853	pSymB	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_01167	Chrs	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_01619	Chrs	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_01620	Chrs	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_02886	pSymB	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_02887	pSymB	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_02888	pSymB	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_02889	pSymB	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_03424	pSymA	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_03432	pSymA	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_03433	pSymA	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_03434	pSymA	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_03907	Chrs	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_03908	Chrs	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_03909	Chrs	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05262	Chrs	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05264	Chrs	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05265	Chrs	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05266	Chrs	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05267	Chrs	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05268	Chrs	operon
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05850	pSymB	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05851	pSymB	regulated
GlnBK	SinmeBODRAFT_04674	Chrs	SinmeBODRAFT_05852	pSymB	operon
