#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SMAE608_005103	Chrs	SMAE608_001633	Chrs	regulated
AglR	SMAE608_005103	Chrs	SMAE608_002776	pSymB	regulated
AglR	SMAE608_005103	Chrs	SMAE608_002777	pSymB	regulated
AglR	SMAE608_005103	Chrs	SMAE608_004091	Chrs	regulated
AglR	SMAE608_005103	Chrs	SMAE608_005102	Chrs	regulated
AglR	SMAE608_005103	Chrs	SMAE608_006745	Chrs	regulated
AglR	SMAE608_005103	Chrs	SMAE608_006746	Chrs	operon
AglR	SMAE608_005103	Chrs	SMAE608_006747	Chrs	operon
AglR	SMAE608_005103	Chrs	SMAE608_006748	Chrs	operon
BetI	SMAE608_001888	Chrs	SMAE608_001889	Chrs	regulated
ChpR	SMAE608_005463	pSymB	SMAE608_005462	pSymB	regulated
ChvI	SMAE608_003321	Chrs	SMAE608_000643	Chrs	regulated
ChvI	SMAE608_003321	Chrs	SMAE608_000644	Chrs	operon
ChvI	SMAE608_003321	Chrs	SMAE608_005273	Chrs	regulated
ChvI	SMAE608_003321	Chrs	SMAE608_005274	Chrs	operon
DctD	SMAE608_005573	pSymB	SMAE608_001983	pSymA	regulated
DctD	SMAE608_005573	pSymB	SMAE608_005571	pSymB	regulated
ExpG	SMAE608_002745	pSymB	SMAE608_002743	pSymB	regulated
ExpG	SMAE608_002745	pSymB	SMAE608_002744	pSymB	operon
ExpG	SMAE608_002745	pSymB	SMAE608_002746	pSymB	regulated
ExpG	SMAE608_002745	pSymB	SMAE608_002747	pSymB	operon
ExpG	SMAE608_002745	pSymB	SMAE608_002748	pSymB	regulated
ExpG	SMAE608_002745	pSymB	SMAE608_004983	pSymA	regulated
ExpG	SMAE608_002745	pSymB	SMAE608_004984	pSymA	regulated
ExpG	SMAE608_002745	pSymB	SMAE608_004985	pSymA	operon
ExpG	SMAE608_002745	pSymB	SMAE608_004986	pSymA	operon
FixJ	SMAE608_007139	pSymA	SMAE608_007140	pSymA	operon
FixK1	SMAE608_007137	pSymA	SMAE608_001338	Chrs	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_001339	Chrs	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_002499	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_002500	pSymA	operon
FixK1	SMAE608_007137	pSymA	SMAE608_002501	pSymA	operon
FixK1	SMAE608_007137	pSymA	SMAE608_002506	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_002507	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_002908	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_002909	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_005236	UnMapped	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_005237	UnMapped	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_005991	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_006700	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_007135	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_007136	pSymA	operon
FixK1	SMAE608_007137	pSymA	SMAE608_007138	pSymA	regulated
FixK1	SMAE608_007137	pSymA	SMAE608_007139	pSymA	operon
FixK1	SMAE608_007137	pSymA	SMAE608_007140	pSymA	operon
FixK1	SMAE608_002909	pSymA	SMAE608_001338	Chrs	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_001339	Chrs	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_002499	pSymA	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_002500	pSymA	operon
FixK1	SMAE608_002909	pSymA	SMAE608_002501	pSymA	operon
FixK1	SMAE608_002909	pSymA	SMAE608_002506	pSymA	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_002507	pSymA	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_002908	pSymA	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_005236	UnMapped	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_005237	UnMapped	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_005991	pSymA	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_006700	pSymA	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_007135	pSymA	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_007136	pSymA	operon
FixK1	SMAE608_002909	pSymA	SMAE608_007137	pSymA	operon
FixK1	SMAE608_002909	pSymA	SMAE608_007138	pSymA	regulated
FixK1	SMAE608_002909	pSymA	SMAE608_007139	pSymA	operon
FixK1	SMAE608_002909	pSymA	SMAE608_007140	pSymA	operon
Fur	SMAE608_004455	Chrs	SMAE608_001997	pSymA	regulated
Fur	SMAE608_004455	Chrs	SMAE608_001998	pSymA	operon
Fur	SMAE608_004455	Chrs	SMAE608_004454	Chrs	regulated
GlnBK	SMAE608_002999	Chrs	SMAE608_000957	Chrs	regulated
GlnBK	SMAE608_002999	Chrs	SMAE608_001200	pSymB	regulated
GlnBK	SMAE608_002999	Chrs	SMAE608_001201	pSymB	regulated
GlnBK	SMAE608_002999	Chrs	SMAE608_001202	pSymB	operon
GlnBK	SMAE608_002999	Chrs	SMAE608_001203	pSymB	operon
GlnBK	SMAE608_002999	Chrs	SMAE608_001204	pSymB	operon
GlnBK	SMAE608_002999	Chrs	SMAE608_001914	Chrs	regulated
GlnBK	SMAE608_002999	Chrs	SMAE608_001915	Chrs	operon
GlnBK	SMAE608_002999	Chrs	SMAE608_002871	Chrs	regulated
GlnBK	SMAE608_002999	Chrs	SMAE608_002872	Chrs	regulated
GlnBK	SMAE608_002999	Chrs	SMAE608_002873	Chrs	operon
GlnBK	SMAE608_002999	Chrs	SMAE608_002874	Chrs	operon
GlnBK	SMAE608_002999	Chrs	SMAE608_006473	Chrs	regulated
GlnBK	SMAE608_002999	Chrs	SMAE608_006474	Chrs	regulated
GlnBK	SMAE608_002122	Chrs	SMAE608_000957	Chrs	regulated
GlnBK	SMAE608_002122	Chrs	SMAE608_001200	pSymB	regulated
GlnBK	SMAE608_002122	Chrs	SMAE608_001201	pSymB	regulated
GlnBK	SMAE608_002122	Chrs	SMAE608_001202	pSymB	operon
GlnBK	SMAE608_002122	Chrs	SMAE608_001203	pSymB	operon
GlnBK	SMAE608_002122	Chrs	SMAE608_001204	pSymB	operon
GlnBK	SMAE608_002122	Chrs	SMAE608_001914	Chrs	regulated
GlnBK	SMAE608_002122	Chrs	SMAE608_001915	Chrs	operon
GlnBK	SMAE608_002122	Chrs	SMAE608_002871	Chrs	regulated
GlnBK	SMAE608_002122	Chrs	SMAE608_002872	Chrs	regulated
GlnBK	SMAE608_002122	Chrs	SMAE608_002873	Chrs	operon
GlnBK	SMAE608_002122	Chrs	SMAE608_002874	Chrs	operon
GlnBK	SMAE608_002122	Chrs	SMAE608_006473	Chrs	regulated
GlnBK	SMAE608_002122	Chrs	SMAE608_006474	Chrs	regulated
HpdR	SMAE608_002664	Chrs	SMAE608_002663	Chrs	regulated
HpdR	SMAE608_002664	Chrs	SMAE608_003054	UnMapped	regulated
HpdR	SMAE608_002664	Chrs	SMAE608_003055	UnMapped	operon
IolR	SMAE608_000833	Chrs	SMAE608_000428	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_000429	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_000693	Chrs	regulated
IolR	SMAE608_000833	Chrs	SMAE608_000694	Chrs	operon
IolR	SMAE608_000833	Chrs	SMAE608_000830	Chrs	regulated
IolR	SMAE608_000833	Chrs	SMAE608_000831	Chrs	regulated
IolR	SMAE608_000833	Chrs	SMAE608_000834	Chrs	regulated
IolR	SMAE608_000833	Chrs	SMAE608_000835	Chrs	operon
IolR	SMAE608_000833	Chrs	SMAE608_002391	Chrs	regulated
IolR	SMAE608_000833	Chrs	SMAE608_002392	Chrs	operon
IolR	SMAE608_000833	Chrs	SMAE608_002393	Chrs	operon
IolR	SMAE608_000833	Chrs	SMAE608_002763	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_002764	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_002765	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_002766	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_002767	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_002974	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_003102	UnMapped	regulated
IolR	SMAE608_000833	Chrs	SMAE608_003103	UnMapped	regulated
IolR	SMAE608_000833	Chrs	SMAE608_003138	UnMapped	regulated
IolR	SMAE608_000833	Chrs	SMAE608_003331	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_003332	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_003333	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_003334	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_004415	Chrs	regulated
IolR	SMAE608_000833	Chrs	SMAE608_004416	Chrs	regulated
IolR	SMAE608_000833	Chrs	SMAE608_004417	Chrs	operon
IolR	SMAE608_000833	Chrs	SMAE608_004418	Chrs	operon
IolR	SMAE608_000833	Chrs	SMAE608_004419	Chrs	operon
IolR	SMAE608_000833	Chrs	SMAE608_005323	Chrs	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005324	Chrs	operon
IolR	SMAE608_000833	Chrs	SMAE608_005466	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005467	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005473	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005474	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005475	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005476	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005691	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005767	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005768	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005769	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005770	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005771	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005772	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005773	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_005774	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005775	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005776	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005777	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_005778	pSymB	operon
IolR	SMAE608_000833	Chrs	SMAE608_006082	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_006083	pSymB	regulated
IolR	SMAE608_000833	Chrs	SMAE608_007177	UnMapped	regulated
IolR	SMAE608_000833	Chrs	SMAE608_007178	UnMapped	regulated
LsrAB1	SMAE608_001895	Chrs	SMAE608_003871	UnMapped	regulated
LsrAB1	SMAE608_001895	Chrs	SMAE608_006082	pSymB	regulated
LsrAB1	SMAE608_001895	Chrs	SMAE608_006083	pSymB	regulated
LsrAB1	SMAE608_004055	Chrs	SMAE608_003871	UnMapped	regulated
LsrAB1	SMAE608_004055	Chrs	SMAE608_006082	pSymB	regulated
LsrAB1	SMAE608_004055	Chrs	SMAE608_006083	pSymB	regulated
MucR	SMAE608_004493	Chrs	SMAE608_002743	pSymB	regulated
MucR	SMAE608_004493	Chrs	SMAE608_002744	pSymB	operon
MucR	SMAE608_004493	Chrs	SMAE608_006865	Chrs	regulated
NesR	SMAE608_003050	UnMapped	SMAE608_000776	Chrs	regulated
NesR	SMAE608_003050	UnMapped	SMAE608_003316	Chrs	regulated
NesR	SMAE608_003050	UnMapped	SMAE608_004764	Chrs	regulated
NesR	SMAE608_003050	UnMapped	SMAE608_004765	Chrs	operon
NesR	SMAE608_003050	UnMapped	SMAE608_005144	Chrs	regulated
NifA	SMAE608_000172	pSymA	SMAE608_000176	pSymA	regulated
NifA	SMAE608_000172	pSymA	SMAE608_000177	pSymA	regulated
NifA	SMAE608_000172	pSymA	SMAE608_000178	pSymA	operon
NifA	SMAE608_000172	pSymA	SMAE608_000179	pSymA	operon
