#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_1320037	Chrs	regulated
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_1320038	Chrs	operon
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_1490069	Chrs	regulated
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_1490070	Chrs	operon
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_1490071	Chrs	operon
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_1490072	Chrs	operon
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_2150011	Chrs	regulated
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_2400024	Chrs	regulated
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_2400025	Chrs	operon
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_2400026	Chrs	operon
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_psym1980072	pSymA	regulated
AglR	KH16Bv1_2150012	Chrs	KH16Bv1_psym1980073	pSymA	regulated
BetI	KH16Bv1_2050033	Chrs	KH16Bv1_1460086	Chrs	regulated
BetI	KH16Bv1_2050033	Chrs	KH16Bv1_1460087	Chrs	regulated
BetI	KH16Bv1_2050033	Chrs	KH16Bv1_2050032	Chrs	regulated
ChpR	KH16Bv1_pld1430023	pSymB	KH16Bv1_pld1430024	pSymB	regulated
ChvI	KH16Bv1_1870006	Chrs	KH16Bv1_1270016	Chrs	regulated
ChvI	KH16Bv1_1870006	Chrs	KH16Bv1_1270017	Chrs	operon
ChvI	KH16Bv1_1870006	Chrs	KH16Bv1_1870007	Chrs	operon
ChvI	KH16Bv1_1870006	Chrs	KH16Bv1_1870008	Chrs	operon
ExpG	KH16Bv1_pld400070	pSymB	KH16Bv1_pld400071	pSymB	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460032	Chrs	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460033	Chrs	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460034	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460035	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460036	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460037	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460038	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460039	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460040	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_1460041	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_2050084	Chrs	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_2050085	Chrs	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_2230005	Chrs	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_2230006	Chrs	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_290002	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_290003	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_290004	pSymA	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_450018	Chrs	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_450019	Chrs	operon
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_550002	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_550003	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_560002	UnMapped	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_560003	UnMapped	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_850001	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_850002	Chrs	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_pld1050007	UnMapped	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_psym1590007	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_psym1590008	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_psym1780009	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_psym1800024	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_psym1800025	pSymA	regulated
FixK1	KH16Bv1_psym1610004	pSymA	KH16Bv1_psym780004	pSymA	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460032	Chrs	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460033	Chrs	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460034	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460035	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460036	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460037	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460038	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460039	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460040	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_1460041	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_2050084	Chrs	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_2050085	Chrs	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_2230005	Chrs	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_2230006	Chrs	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_290002	pSymA	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_290003	pSymA	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_290004	pSymA	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_450018	Chrs	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_450019	Chrs	operon
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_550002	pSymA	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_550003	pSymA	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_560002	UnMapped	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_560003	UnMapped	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_850001	pSymA	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_850002	Chrs	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_pld1050007	UnMapped	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_psym1590007	pSymA	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_psym1590008	pSymA	regulated
FixK1	KH16Bv1_psym1780007	pSymA	KH16Bv1_psym1780009	pSymA	regulated
