#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	KH12Gv1_430066	Chrs	KH12Gv1_1100036	Chrs	regulated
AglR	KH12Gv1_430066	Chrs	KH12Gv1_1100037	Chrs	operon
AglR	KH12Gv1_430066	Chrs	KH12Gv1_1530009	pSymA	regulated
AglR	KH12Gv1_430066	Chrs	KH12Gv1_1530010	pSymA	regulated
AglR	KH12Gv1_430066	Chrs	KH12Gv1_200037	Chrs	regulated
AglR	KH12Gv1_430066	Chrs	KH12Gv1_200038	Chrs	operon
AglR	KH12Gv1_430066	Chrs	KH12Gv1_200039	Chrs	operon
AglR	KH12Gv1_430066	Chrs	KH12Gv1_200040	Chrs	operon
AglR	KH12Gv1_430066	Chrs	KH12Gv1_430064	Chrs	regulated
AglR	KH12Gv1_430066	Chrs	KH12Gv1_430065	Chrs	regulated
AglR	KH12Gv1_430066	Chrs	KH12Gv1_580023	Chrs	regulated
BetI	KH12Gv1_1270039	Chrs	KH12Gv1_1270038	Chrs	regulated
ChpR	KH12Gv1_pld1040083	pSymB	KH12Gv1_pld1040082	pSymB	regulated
ChvI	KH12Gv1_990005	Chrs	KH12Gv1_1260010	Chrs	regulated
ChvI	KH12Gv1_990005	Chrs	KH12Gv1_1260011	Chrs	operon
ChvI	KH12Gv1_990005	Chrs	KH12Gv1_990006	Chrs	operon
ChvI	KH12Gv1_990005	Chrs	KH12Gv1_990007	Chrs	operon
ExpG	KH12Gv1_pld290030	pSymB	KH12Gv1_pld290029	pSymB	regulated
ExpG	KH12Gv1_pld290030	pSymB	KH12Gv1_pld290032	pSymB	regulated
ExpG	KH12Gv1_pld290030	pSymB	KH12Gv1_psym1560235	pSymA	regulated
ExpG	KH12Gv1_pld290030	pSymB	KH12Gv1_psym1560236	pSymA	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_1120026	Chrs	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_1450110	Chrs	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_350013	Chrs	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_350014	Chrs	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_pld790006	UnMapped	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym1150081	pSymA	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym1150082	pSymA	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym1150083	pSymA	operon
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym730005	pSymA	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym730006	pSymA	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym730032	pSymA	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym730033	pSymA	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym740017	pSymA	regulated
FixJ	KH12Gv1_psym730004	pSymA	KH12Gv1_psym870100	pSymA	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_1450110	Chrs	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_350013	Chrs	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_350014	Chrs	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_pld790006	UnMapped	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_psym1150081	pSymA	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_psym1150082	pSymA	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_psym1150083	pSymA	operon
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_psym730005	pSymA	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_psym730006	pSymA	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_psym730032	pSymA	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_psym730033	pSymA	regulated
FixK1	KH12Gv1_psym1590075	pSymA	KH12Gv1_psym740017	pSymA	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_1450110	Chrs	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_350013	Chrs	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_350014	Chrs	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_pld790006	UnMapped	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_psym1150081	pSymA	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_psym1150082	pSymA	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_psym1150083	pSymA	operon
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_psym730005	pSymA	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_psym730032	pSymA	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_psym730033	pSymA	regulated
FixK1	KH12Gv1_psym730006	pSymA	KH12Gv1_psym740017	pSymA	regulated
Fur	KH12Gv1_210059	Chrs	KH12Gv1_1530021	pSymA	regulated
Fur	KH12Gv1_210059	Chrs	KH12Gv1_1530022	pSymA	operon
Fur	KH12Gv1_210059	Chrs	KH12Gv1_210060	Chrs	regulated
Fur	KH12Gv1_210059	Chrs	KH12Gv1_210061	Chrs	operon
Fur	KH12Gv1_210059	Chrs	KH12Gv1_210062	Chrs	operon
Fur	KH12Gv1_210059	Chrs	KH12Gv1_210063	Chrs	operon
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_300053	Chrs	regulated
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_300054	Chrs	regulated
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_410024	Chrs	regulated
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_410025	Chrs	regulated
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_410026	Chrs	operon
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_810016	Chrs	regulated
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_pld820026	pSymB	regulated
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_psym870017	pSymA	regulated
GlnBK	KH12Gv1_1070023	Chrs	KH12Gv1_psym870018	pSymA	regulated
GlnBK	KH12Gv1_1140004	Chrs	KH12Gv1_300053	Chrs	regulated
GlnBK	KH12Gv1_1140004	Chrs	KH12Gv1_300054	Chrs	regulated
GlnBK	KH12Gv1_1140004	Chrs	KH12Gv1_410024	Chrs	regulated
GlnBK	KH12Gv1_1140004	Chrs	KH12Gv1_410025	Chrs	regulated
