#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SM0020_32757	Chrs	SM0020_13197	Chrs	regulated
AglR	SM0020_32757	Chrs	SM0020_13657	pSymB	regulated
AglR	SM0020_32757	Chrs	SM0020_13662	pSymB	regulated
AglR	SM0020_32757	Chrs	SM0020_15601	Chrs	regulated
AglR	SM0020_32757	Chrs	SM0020_27815	Chrs	regulated
AglR	SM0020_32757	Chrs	SM0020_27820	Chrs	operon
AglR	SM0020_32757	Chrs	SM0020_27825	Chrs	operon
AglR	SM0020_32757	Chrs	SM0020_32752	Chrs	regulated
BetI	SM0020_32385	Chrs	SM0020_24278	pSymB	regulated
BetI	SM0020_32385	Chrs	SM0020_24283	pSymB	operon
BetI	SM0020_32385	Chrs	SM0020_24288	pSymB	operon
BetI	SM0020_32385	Chrs	SM0020_32390	Chrs	regulated
ChpR	SM0020_17472	pSymB	SM0020_17467	pSymB	regulated
DctD	SM0020_14509	pSymB	SM0020_14519	pSymB	regulated
ExpG	SM0020_13507	pSymB	SM0020_13512	pSymB	regulated
ExpG	SM0020_13507	pSymB	SM0020_13517	pSymB	operon
ExpG	SM0020_13507	pSymB	SM0020_13522	pSymB	operon
ExpG	SM0020_13507	pSymB	SM0020_13527	pSymB	operon
ExpG	SM0020_13507	pSymB	SM0020_13532	pSymB	operon
ExpG	SM0020_13507	pSymB	SM0020_13537	pSymB	operon
ExpG	SM0020_13507	pSymB	SM0020_13542	pSymB	operon
ExpG	SM0020_13507	pSymB	SM0020_13547	pSymB	operon
ExpG	SM0020_13507	pSymB	SM0020_13552	pSymB	operon
FixJ	SM0020_05957	pSymA	SM0020_05802	pSymA	regulated
FixJ	SM0020_05957	pSymA	SM0020_05842	pSymA	regulated
FixJ	SM0020_05957	pSymA	SM0020_05892	pSymA	regulated
FixJ	SM0020_05957	pSymA	SM0020_05897	pSymA	regulated
FixJ	SM0020_05957	pSymA	SM0020_05942	pSymA	regulated
FixJ	SM0020_05957	pSymA	SM0020_05952	pSymA	regulated
FixJ	SM0020_05957	pSymA	SM0020_05962	pSymA	operon
FixJ	SM0020_05957	pSymA	SM0020_22182	pSymA	regulated
FixJ	SM0020_05957	pSymA	SM0020_22187	pSymA	operon
FixJ	SM0020_05957	pSymA	SM0020_22192	pSymA	operon
FixJ	SM0020_05957	pSymA	SM0020_22197	pSymA	operon
