#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SMA641_006725	Chrs	SMA641_001130	pSymA	regulated
AglR	SMA641_006725	Chrs	SMA641_001413	Chrs	regulated
AglR	SMA641_006725	Chrs	SMA641_001414	Chrs	operon
AglR	SMA641_006725	Chrs	SMA641_001415	Chrs	operon
AglR	SMA641_006725	Chrs	SMA641_004972	Chrs	regulated
AglR	SMA641_006725	Chrs	SMA641_004973	Chrs	operon
AglR	SMA641_006725	Chrs	SMA641_004974	Chrs	operon
AglR	SMA641_006725	Chrs	SMA641_005057	Chrs	regulated
AglR	SMA641_006725	Chrs	SMA641_005058	Chrs	operon
AglR	SMA641_006725	Chrs	SMA641_006726	Chrs	regulated
AglR	SMA641_006725	Chrs	SMA641_007527	pSymB	regulated
AglR	SMA641_006725	Chrs	SMA641_007528	pSymB	regulated
AglR	SMA641_006725	Chrs	SMA641_007529	pSymB	operon
AglR	SMA641_006725	Chrs	SMA641_007530	pSymB	operon
AglR	SMA641_006725	Chrs	SMA641_007531	pSymB	operon
BetI	SMA641_003807	Chrs	SMA641_003806	Chrs	regulated
ChvI	SMA641_000701	Chrs	SMA641_003241	Chrs	regulated
ChvI	SMA641_000701	Chrs	SMA641_003242	Chrs	operon
ExpG	SMA641_007563	pSymB	SMA641_002624	pSymA	regulated
ExpG	SMA641_007563	pSymB	SMA641_002625	pSymA	regulated
ExpG	SMA641_007563	pSymB	SMA641_002626	pSymA	operon
ExpG	SMA641_007563	pSymB	SMA641_002627	pSymA	operon
ExpG	SMA641_007563	pSymB	SMA641_007560	pSymB	regulated
ExpG	SMA641_007563	pSymB	SMA641_007561	pSymB	operon
ExpG	SMA641_007563	pSymB	SMA641_007562	pSymB	regulated
ExpG	SMA641_007563	pSymB	SMA641_007565	pSymB	regulated
ExpG	SMA641_007563	pSymB	SMA641_007566	pSymB	operon
FixJ	SMA641_006257	pSymA	SMA641_006258	pSymA	operon
FixK1	SMA641_006255	pSymA	SMA641_002318	pSymA	regulated
FixK1	SMA641_006255	pSymA	SMA641_002331	pSymA	regulated
FixK1	SMA641_006255	pSymA	SMA641_006253	pSymA	regulated
FixK1	SMA641_006255	pSymA	SMA641_006254	pSymA	operon
FixK1	SMA641_006255	pSymA	SMA641_006256	pSymA	regulated
FixK1	SMA641_006255	pSymA	SMA641_006257	pSymA	operon
FixK1	SMA641_006255	pSymA	SMA641_006258	pSymA	operon
FixK1	SMA641_006255	pSymA	SMA641_006516	Chrs	regulated
FixK1	SMA641_006255	pSymA	SMA641_006517	Chrs	regulated
Fur	SMA641_004192	Chrs	SMA641_004191	Chrs	regulated
GlnBK	SMA641_003759	Chrs	SMA641_000431	pSymB	regulated
GlnBK	SMA641_003759	Chrs	SMA641_000432	pSymB	regulated
GlnBK	SMA641_003759	Chrs	SMA641_000433	pSymB	operon
GlnBK	SMA641_003759	Chrs	SMA641_005586	Chrs	regulated
GlnBK	SMA641_003759	Chrs	SMA641_005906	Chrs	regulated
GlnBK	SMA641_003759	Chrs	SMA641_007364	Chrs	regulated
GlnBK	SMA641_001970	Chrs	SMA641_000431	pSymB	regulated
GlnBK	SMA641_001970	Chrs	SMA641_000432	pSymB	regulated
GlnBK	SMA641_001970	Chrs	SMA641_000433	pSymB	operon
GlnBK	SMA641_001970	Chrs	SMA641_005586	Chrs	regulated
GlnBK	SMA641_001970	Chrs	SMA641_005906	Chrs	regulated
GlnBK	SMA641_001970	Chrs	SMA641_007364	Chrs	regulated
HpdR	SMA641_003198	Chrs	SMA641_003197	Chrs	regulated
IolR	SMA641_007145	Chrs	SMA641_001229	Chrs	regulated
IolR	SMA641_007145	Chrs	SMA641_001230	Chrs	operon
IolR	SMA641_007145	Chrs	SMA641_001231	Chrs	operon
IolR	SMA641_007145	Chrs	SMA641_001333	pSymA	regulated
IolR	SMA641_007145	Chrs	SMA641_001334	pSymA	regulated
