#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	N6B1v1_720080	Chrs	N6B1v1_1240020	Chrs	regulated
AglR	N6B1v1_720080	Chrs	N6B1v1_170070	Chrs	regulated
AglR	N6B1v1_720080	Chrs	N6B1v1_170071	Chrs	operon
AglR	N6B1v1_720080	Chrs	N6B1v1_170072	Chrs	operon
AglR	N6B1v1_720080	Chrs	N6B1v1_170073	Chrs	operon
AglR	N6B1v1_720080	Chrs	N6B1v1_720081	Chrs	regulated
AglR	N6B1v1_720080	Chrs	N6B1v1_720082	Chrs	operon
AglR	N6B1v1_720080	Chrs	N6B1v1_720083	Chrs	operon
AglR	N6B1v1_720080	Chrs	N6B1v1_720084	Chrs	operon
AglR	N6B1v1_720080	Chrs	N6B1v1_970012	Chrs	regulated
AglR	N6B1v1_720080	Chrs	N6B1v1_970013	Chrs	operon
AglR	N6B1v1_720080	Chrs	N6B1v1_psym1700078	pSymA	regulated
AglR	N6B1v1_720080	Chrs	N6B1v1_psym1700079	pSymA	regulated
BetI	N6B1v1_2550015	Chrs	N6B1v1_2550016	Chrs	regulated
ChpR	N6B1v1_pld1540231	pSymB	N6B1v1_pld1540232	pSymB	regulated
ChvI	N6B1v1_2250014	Chrs	N6B1v1_2220076	Chrs	regulated
ExpG	N6B1v1_pld2900080	pSymB	N6B1v1_pld2900081	pSymB	regulated
ExpG	N6B1v1_pld2900080	pSymB	N6B1v1_pld2900082	pSymB	operon
ExpG	N6B1v1_pld2900080	pSymB	N6B1v1_psym590018	pSymA	regulated
ExpG	N6B1v1_pld2900080	pSymB	N6B1v1_psym590019	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2430020	pSymB	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2440010	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2510040	Chrs	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2510041	Chrs	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2600014	Chrs	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2600015	Chrs	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2600016	Chrs	operon
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2600017	Chrs	operon
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2820004	Chrs	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_2820005	Chrs	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_540008	UnMapped	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_540009	UnMapped	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_540010	UnMapped	operon
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_600001	UnMapped	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_930040	Chrs	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym2020003	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym2020019	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym2030006	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym2030007	pSymA	operon
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym220025	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym220026	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym2730007	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym2730008	pSymA	operon
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym590043	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym910011	pSymA	regulated
FixJ	N6B1v1_psym2030005	pSymA	N6B1v1_psym910012	pSymA	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2440010	pSymA	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2510040	Chrs	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2510041	Chrs	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2600014	Chrs	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2600015	Chrs	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2600016	Chrs	operon
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2600017	Chrs	operon
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2820004	Chrs	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_2820005	Chrs	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_540008	UnMapped	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_540009	UnMapped	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_540010	UnMapped	operon
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_600001	UnMapped	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_930040	Chrs	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_psym2020003	pSymA	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_psym2020019	pSymA	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_psym2030006	pSymA	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_psym2030007	pSymA	operon
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_psym220025	pSymA	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_psym220026	pSymA	regulated
FixK1	N6B1v1_psym2730006	pSymA	N6B1v1_psym2730007	pSymA	regulated
