#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_1280083	Chrs	regulated
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_1280084	Chrs	operon
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_1280085	Chrs	operon
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_1280086	Chrs	operon
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_1850007	Chrs	regulated
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_1850008	Chrs	operon
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_1850009	Chrs	operon
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_1850010	Chrs	operon
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_2910034	Chrs	regulated
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_2910035	Chrs	operon
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_3560023	Chrs	regulated
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_psym2380102	pSymA	regulated
AglR	USDA1002v1_1280082	Chrs	USDA1002v1_psym2380103	pSymA	regulated
BetI	USDA1002v1_1360019	Chrs	USDA1002v1_1360018	Chrs	regulated
ChpR	USDA1002v1_pld1380111	pSymB	USDA1002v1_pld1380110	pSymB	regulated
ChvI	USDA1002v1_680005	Chrs	USDA1002v1_680006	Chrs	operon
ChvI	USDA1002v1_680005	Chrs	USDA1002v1_680007	Chrs	operon
ChvI	USDA1002v1_680005	Chrs	USDA1002v1_980019	Chrs	regulated
ChvI	USDA1002v1_680005	Chrs	USDA1002v1_980020	Chrs	operon
ExpG	USDA1002v1_pld1310078	pSymB	USDA1002v1_pld1310079	pSymB	regulated
ExpG	USDA1002v1_pld1310078	pSymB	USDA1002v1_pld1310080	pSymB	operon
FixJ	USDA1002v1_psym3120034	pSymA	USDA1002v1_psym3120035	pSymA	operon
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_1800032	Chrs	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_1800033	Chrs	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_3350004	Chrs	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_3350005	Chrs	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_3410006	UnMapped	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_770005	UnMapped	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_770006	UnMapped	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_850012	UnMapped	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_850013	UnMapped	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_psym2080020	pSymA	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_psym2630035	pSymA	regulated
FixK1	USDA1002v1_psym610017	pSymA	USDA1002v1_psym2630036	pSymA	regulated
