#orth_id	category	organism(s)
Rhizo1000	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1001	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1002	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1003	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1004	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1005	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1007	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1008	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1009	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1012	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1013	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1014	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1015	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1016	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1017	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1018	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1020	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1021	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1022	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1023	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1024	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1029	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo103	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1030	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1031	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1032	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1033	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1034	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1035	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1036	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1037	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1038	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1039	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1040	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1041	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1046	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1047	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1049	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1051	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1052	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1053	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1054	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1055	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1056	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1057	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo109	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo11	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo110	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
Rhizo1101	core	3841 CFN42 MAFF303099 NGR234 Rm1021 WSM419
