#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	Sinme_1901	Chrs	Sinme_1334	Chrs	regulated
AglR	Sinme_1901	Chrs	Sinme_1335	Chrs	operon
AglR	Sinme_1901	Chrs	Sinme_1336	Chrs	operon
AglR	Sinme_1901	Chrs	Sinme_1900	Chrs	regulated
AglR	Sinme_1901	Chrs	Sinme_2947	Chrs	regulated
AglR	Sinme_1901	Chrs	Sinme_2948	Chrs	operon
AglR	Sinme_1901	Chrs	Sinme_2949	Chrs	operon
AglR	Sinme_1901	Chrs	Sinme_2950	Chrs	operon
AglR	Sinme_1901	Chrs	Sinme_3627	Chrs	regulated
AglR	Sinme_1901	Chrs	Sinme_3628	Chrs	operon
AglR	Sinme_1901	Chrs	Sinme_4845	pSymB	regulated
AglR	Sinme_1901	Chrs	Sinme_4846	pSymB	regulated
BetI	Sinme_0660	Chrs	Sinme_0661	Chrs	regulated
ChpR	Sinme_4327	pSymB	Sinme_4328	pSymB	regulated
ChvI	Sinme_3375	Chrs	Sinme_2371	Chrs	regulated
ChvI	Sinme_3375	Chrs	Sinme_2372	Chrs	operon
DctD	Sinme_4218	pSymB	Sinme_4220	pSymB	regulated
ExpG	Sinme_4814	pSymB	Sinme_4815	pSymB	regulated
ExpG	Sinme_4814	pSymB	Sinme_4816	pSymB	operon
ExpG	Sinme_4814	pSymB	Sinme_4817	pSymB	operon
ExpG	Sinme_4814	pSymB	Sinme_6101	pSymA	regulated
ExpG	Sinme_4814	pSymB	Sinme_6102	pSymA	regulated
ExpG	Sinme_4814	pSymB	Sinme_6103	pSymA	operon
ExpG	Sinme_4814	pSymB	Sinme_6104	pSymA	operon
ExpG	Sinme_4814	pSymB	Sinme_6940	pSINME02	regulated
ExpG	Sinme_4814	pSymB	Sinme_6941	pSINME02	operon
ExpG	Sinme_4814	pSymB	Sinme_6942	pSINME02	operon
ExpG	Sinme_4814	pSymB	Sinme_6943	pSINME02	operon
FixJ	Sinme_5886	pSymA	Sinme_5887	pSymA	operon
FixJ	Sinme_5886	pSymA	Sinme_5889	pSymA	operon
FixJ	Sinme_5886	pSymA	Sinme_5890	pSymA	operon
FixJ	Sinme_5886	pSymA	Sinme_5891	pSymA	operon
FixK1	Sinme_6391	pSymA	Sinme_0610	Chrs	regulated
FixK1	Sinme_6391	pSymA	Sinme_0611	Chrs	regulated
FixK1	Sinme_6391	pSymA	Sinme_0612	Chrs	operon
FixK1	Sinme_6391	pSymA	Sinme_0613	Chrs	operon
FixK1	Sinme_6391	pSymA	Sinme_0614	Chrs	operon
FixK1	Sinme_6391	pSymA	Sinme_0615	Chrs	operon
FixK1	Sinme_6391	pSymA	Sinme_0616	Chrs	operon
FixK1	Sinme_6391	pSymA	Sinme_5649	pSymA	regulated
FixK1	Sinme_6391	pSymA	Sinme_5657	pSymA	regulated
FixK1	Sinme_6391	pSymA	Sinme_5658	pSymA	regulated
FixK1	Sinme_6391	pSymA	Sinme_5659	pSymA	operon
FixK1	Sinme_6391	pSymA	Sinme_5873	pSymA	regulated
FixK1	Sinme_6391	pSymA	Sinme_5882	pSymA	regulated
FixK1	Sinme_6391	pSymA	Sinme_5883	pSymA	operon
FixK1	Sinme_6391	pSymA	Sinme_5884	pSymA	regulated
FixK1	Sinme_6391	pSymA	Sinme_5885	pSymA	regulated
FixK1	Sinme_6391	pSymA	Sinme_5886	pSymA	operon
FixK1	Sinme_6391	pSymA	Sinme_5887	pSymA	operon
FixK1	Sinme_6391	pSymA	Sinme_5889	pSymA	operon
FixK1	Sinme_6391	pSymA	Sinme_5890	pSymA	operon
FixK1	Sinme_6391	pSymA	Sinme_5891	pSymA	operon
FixK1	Sinme_6391	pSymA	Sinme_6390	pSymA	regulated
