#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	BN406_01658	Chrs	BN406_01263	Chrs	regulated
AglR	BN406_01658	Chrs	BN406_01264	Chrs	operon
AglR	BN406_01658	Chrs	BN406_01265	Chrs	operon
AglR	BN406_01658	Chrs	BN406_01657	Chrs	regulated
AglR	BN406_01658	Chrs	BN406_02749	Chrs	regulated
AglR	BN406_01658	Chrs	BN406_02750	Chrs	operon
AglR	BN406_01658	Chrs	BN406_02751	Chrs	operon
AglR	BN406_01658	Chrs	BN406_02752	Chrs	operon
AglR	BN406_01658	Chrs	BN406_03429	Chrs	regulated
AglR	BN406_01658	Chrs	BN406_03430	Chrs	operon
AglR	BN406_01658	Chrs	BN406_05799	pSymB	regulated
AglR	BN406_01658	Chrs	BN406_05800	pSymB	regulated
BetI	BN406_00606	Chrs	BN406_00607	Chrs	regulated
BetI	BN406_00606	Chrs	BN406_06008	pSymB	regulated
BetI	BN406_00606	Chrs	BN406_06009	pSymB	operon
BetI	BN406_00606	Chrs	BN406_06010	pSymB	operon
ChpR	BN406_05291	pSymB	BN406_05292	pSymB	regulated
ChvI	BN406_03178	Chrs	BN406_02176	Chrs	regulated
ChvI	BN406_03178	Chrs	BN406_02177	Chrs	operon
ExpG	BN406_05767	pSymB	BN406_04640	pSymA	regulated
ExpG	BN406_05767	pSymB	BN406_04641	pSymA	regulated
ExpG	BN406_05767	pSymB	BN406_04642	pSymA	operon
ExpG	BN406_05767	pSymB	BN406_04643	pSymA	operon
ExpG	BN406_05767	pSymB	BN406_05768	pSymB	regulated
ExpG	BN406_05767	pSymB	BN406_05769	pSymB	operon
ExpG	BN406_05767	pSymB	BN406_05770	pSymB	operon
FixJ	BN406_04388	pSymA	BN406_00558	Chrs	regulated
FixJ	BN406_04388	pSymA	BN406_00559	Chrs	regulated
FixJ	BN406_04388	pSymA	BN406_00560	Chrs	operon
FixJ	BN406_04388	pSymA	BN406_00561	Chrs	operon
FixJ	BN406_04388	pSymA	BN406_00562	Chrs	operon
FixJ	BN406_04388	pSymA	BN406_00563	Chrs	operon
FixJ	BN406_04388	pSymA	BN406_00564	Chrs	operon
FixJ	BN406_04388	pSymA	BN406_00780	Chrs	regulated
FixJ	BN406_04388	pSymA	BN406_00781	Chrs	regulated
FixJ	BN406_04388	pSymA	BN406_01788	Chrs	regulated
FixJ	BN406_04388	pSymA	BN406_01789	Chrs	regulated
FixJ	BN406_04388	pSymA	BN406_03803	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_03804	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04090	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04091	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04202	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04203	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04204	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04205	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04206	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04207	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04362	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04363	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04364	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04365	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04366	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04367	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04368	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04369	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04385	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04387	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04389	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04418	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04419	pSymA	regulated
FixJ	BN406_04388	pSymA	BN406_04420	pSymA	operon
FixJ	BN406_04388	pSymA	BN406_04421	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_00558	Chrs	regulated
FixK1	BN406_04203	pSymA	BN406_00559	Chrs	regulated
FixK1	BN406_04203	pSymA	BN406_00560	Chrs	operon
FixK1	BN406_04203	pSymA	BN406_00561	Chrs	operon
FixK1	BN406_04203	pSymA	BN406_00562	Chrs	operon
FixK1	BN406_04203	pSymA	BN406_00563	Chrs	operon
FixK1	BN406_04203	pSymA	BN406_00564	Chrs	operon
FixK1	BN406_04203	pSymA	BN406_00780	Chrs	regulated
FixK1	BN406_04203	pSymA	BN406_00781	Chrs	regulated
FixK1	BN406_04203	pSymA	BN406_01788	Chrs	regulated
FixK1	BN406_04203	pSymA	BN406_01789	Chrs	regulated
FixK1	BN406_04203	pSymA	BN406_03803	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_03804	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04090	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04091	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04202	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04204	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04205	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04206	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04207	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04362	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04363	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04364	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04365	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04366	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04367	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04368	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04369	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04385	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04387	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04388	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04389	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04418	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04419	pSymA	regulated
FixK1	BN406_04203	pSymA	BN406_04420	pSymA	operon
FixK1	BN406_04203	pSymA	BN406_04421	pSymA	operon
FixK1	BN406_04387	pSymA	BN406_00558	Chrs	regulated
FixK1	BN406_04387	pSymA	BN406_00559	Chrs	regulated
FixK1	BN406_04387	pSymA	BN406_00560	Chrs	operon
FixK1	BN406_04387	pSymA	BN406_00561	Chrs	operon
FixK1	BN406_04387	pSymA	BN406_00562	Chrs	operon
FixK1	BN406_04387	pSymA	BN406_00563	Chrs	operon
FixK1	BN406_04387	pSymA	BN406_00564	Chrs	operon
FixK1	BN406_04387	pSymA	BN406_00780	Chrs	regulated
FixK1	BN406_04387	pSymA	BN406_00781	Chrs	regulated
FixK1	BN406_04387	pSymA	BN406_01788	Chrs	regulated
FixK1	BN406_04387	pSymA	BN406_01789	Chrs	regulated
FixK1	BN406_04387	pSymA	BN406_03803	pSymA	regulated
FixK1	BN406_04387	pSymA	BN406_03804	pSymA	regulated
FixK1	BN406_04387	pSymA	BN406_04090	pSymA	regulated
FixK1	BN406_04387	pSymA	BN406_04091	pSymA	regulated
FixK1	BN406_04387	pSymA	BN406_04202	pSymA	regulated
FixK1	BN406_04387	pSymA	BN406_04203	pSymA	operon
