#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SinmeB_1742	Chrs	SinmeB_1741	Chrs	regulated
AglR	SinmeB_1742	Chrs	SinmeB_2722	Chrs	regulated
AglR	SinmeB_1742	Chrs	SinmeB_2723	Chrs	operon
AglR	SinmeB_1742	Chrs	SinmeB_2724	Chrs	operon
AglR	SinmeB_1742	Chrs	SinmeB_2725	Chrs	operon
AglR	SinmeB_1742	Chrs	SinmeB_3404	Chrs	regulated
AglR	SinmeB_1742	Chrs	SinmeB_3405	Chrs	operon
AglR	SinmeB_1742	Chrs	SinmeB_3804	pSymB	regulated
AglR	SinmeB_1742	Chrs	SinmeB_3805	pSymB	regulated
BetI	SinmeB_0564	Chrs	SinmeB_0565	Chrs	regulated
BetI	SinmeB_0564	Chrs	SinmeB_4064	pSymB	regulated
BetI	SinmeB_0564	Chrs	SinmeB_4065	pSymB	operon
BetI	SinmeB_0564	Chrs	SinmeB_4066	pSymB	operon
ChpR	SinmeB_4819	pSymB	SinmeB_4820	pSymB	regulated
ChvI	SinmeB_3150	Chrs	SinmeB_2153	Chrs	regulated
ChvI	SinmeB_3150	Chrs	SinmeB_2154	Chrs	operon
DctD	SinmeB_4709	pSymB	SinmeB_4711	pSymB	regulated
DctD	SinmeB_4709	pSymB	SinmeB_5499	pSymA	regulated
ExpG	SinmeB_3773	pSymB	SinmeB_3774	pSymB	regulated
ExpG	SinmeB_3773	pSymB	SinmeB_3775	pSymB	operon
ExpG	SinmeB_3773	pSymB	SinmeB_3776	pSymB	operon
ExpG	SinmeB_3773	pSymB	SinmeB_6609	pSymA	regulated
ExpG	SinmeB_3773	pSymB	SinmeB_6610	pSymA	regulated
ExpG	SinmeB_3773	pSymB	SinmeB_6611	pSymA	operon
ExpG	SinmeB_3773	pSymB	SinmeB_6612	pSymA	operon
FixJ	SinmeB_6173	pSymA	SinmeB_6174	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_0515	Chrs	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_0516	Chrs	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_0517	Chrs	operon
FixK1	SinmeB_6171	pSymA	SinmeB_0518	Chrs	operon
FixK1	SinmeB_6171	pSymA	SinmeB_0519	Chrs	operon
FixK1	SinmeB_6171	pSymA	SinmeB_0520	Chrs	operon
FixK1	SinmeB_6171	pSymA	SinmeB_0521	Chrs	operon
FixK1	SinmeB_6171	pSymA	SinmeB_5227	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5228	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5236	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5237	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_5238	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_5613	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5614	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5654	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5737	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5747	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5749	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5766	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_5818	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_6146	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_6147	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_6148	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6149	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6150	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6151	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6152	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6153	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6169	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_6170	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6172	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_6173	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6174	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6201	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_6202	pSymA	regulated
FixK1	SinmeB_6171	pSymA	SinmeB_6203	pSymA	operon
FixK1	SinmeB_6171	pSymA	SinmeB_6204	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_0515	Chrs	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_0516	Chrs	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_0517	Chrs	operon
FixK1	SinmeB_5986	pSymA	SinmeB_0518	Chrs	operon
FixK1	SinmeB_5986	pSymA	SinmeB_0519	Chrs	operon
FixK1	SinmeB_5986	pSymA	SinmeB_0520	Chrs	operon
FixK1	SinmeB_5986	pSymA	SinmeB_0521	Chrs	operon
FixK1	SinmeB_5986	pSymA	SinmeB_5227	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5228	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5236	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5237	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_5238	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_5613	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5614	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5654	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5737	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5747	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5749	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5766	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_5818	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_6146	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_6147	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_6148	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6149	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6150	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6151	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6152	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6153	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6169	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_6170	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6171	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_6172	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_6173	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6174	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6201	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_6202	pSymA	regulated
FixK1	SinmeB_5986	pSymA	SinmeB_6203	pSymA	operon
FixK1	SinmeB_5986	pSymA	SinmeB_6204	pSymA	operon
Fur	SinmeB_2852	Chrs	SinmeB_2853	Chrs	regulated
Fur	SinmeB_2852	Chrs	SinmeB_2854	Chrs	operon
Fur	SinmeB_2852	Chrs	SinmeB_2855	Chrs	operon
Fur	SinmeB_2852	Chrs	SinmeB_2856	Chrs	operon
GlnBK	SinmeB_2959	Chrs	SinmeB_0590	Chrs	regulated
GlnBK	SinmeB_2959	Chrs	SinmeB_0805	Chrs	regulated
GlnBK	SinmeB_2959	Chrs	SinmeB_0806	Chrs	operon
GlnBK	SinmeB_2959	Chrs	SinmeB_0807	Chrs	operon
