#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SMA643_002789	Chrs	SMA643_001048	pSymA	regulated
AglR	SMA643_002789	Chrs	SMA643_002788	Chrs	regulated
AglR	SMA643_002789	Chrs	SMA643_002790	Chrs	operon
AglR	SMA643_002789	Chrs	SMA643_004803	pSymB	regulated
AglR	SMA643_002789	Chrs	SMA643_004804	pSymB	regulated
AglR	SMA643_002789	Chrs	SMA643_005124	Chrs	regulated
AglR	SMA643_002789	Chrs	SMA643_005125	Chrs	operon
BetI	SMA643_000196	Chrs	SMA643_000195	Chrs	regulated
ChvI	SMA643_001788	Chrs	SMA643_003683	Chrs	regulated
ChvI	SMA643_001788	Chrs	SMA643_003684	Chrs	operon
DctD	SMA643_006692	pSymB	SMA643_006688	pSymB	regulated
ExpG	SMA643_001269	pSymB	SMA643_001264	pSymB	regulated
ExpG	SMA643_001269	pSymB	SMA643_001265	pSymB	operon
ExpG	SMA643_001269	pSymB	SMA643_001268	pSymB	regulated
ExpG	SMA643_001269	pSymB	SMA643_001271	pSymB	regulated
ExpG	SMA643_001269	pSymB	SMA643_001272	pSymB	operon
ExpG	SMA643_001269	pSymB	SMA643_001273	pSymB	operon
ExpG	SMA643_001269	pSymB	SMA643_006443	pSymA	regulated
ExpG	SMA643_001269	pSymB	SMA643_006444	pSymA	regulated
FixK1	SMA643_007541	pSymA	SMA643_003161	pSymA	regulated
FixK1	SMA643_007541	pSymA	SMA643_003174	pSymA	regulated
FixK1	SMA643_002505	pSymA	SMA643_003161	pSymA	regulated
FixK1	SMA643_002505	pSymA	SMA643_003174	pSymA	regulated
Fur	SMA643_006318	Chrs	SMA643_001037	pSymA	regulated
Fur	SMA643_006318	Chrs	SMA643_006317	Chrs	regulated
GlnBK	SMA643_005357	Chrs	SMA643_005107	Chrs	regulated
GlnBK	SMA643_005357	Chrs	SMA643_007493	Chrs	regulated
GlnBK	SMA643_005357	Chrs	SMA643_007494	Chrs	regulated
GlnBK	SMA643_006116	Chrs	SMA643_005107	Chrs	regulated
GlnBK	SMA643_006116	Chrs	SMA643_007493	Chrs	regulated
GlnBK	SMA643_006116	Chrs	SMA643_007494	Chrs	regulated
HpdR	SMA643_000638	Chrs	SMA643_000637	Chrs	regulated
HpdR	SMA643_000638	Chrs	SMA643_001260	pSymB	regulated
HpdR	SMA643_000638	Chrs	SMA643_001261	pSymB	operon
HpdR	SMA643_000638	Chrs	SMA643_001262	pSymB	operon
IolR	SMA643_006092	Chrs	SMA643_001170	pSymA	regulated
IolR	SMA643_006092	Chrs	SMA643_001171	pSymA	operon
IolR	SMA643_006092	Chrs	SMA643_001172	pSymA	operon
IolR	SMA643_006092	Chrs	SMA643_001581	Chrs	regulated
IolR	SMA643_006092	Chrs	SMA643_003109	pSymB	regulated
IolR	SMA643_006092	Chrs	SMA643_003110	pSymB	regulated
IolR	SMA643_006092	Chrs	SMA643_004166	pSymA	regulated
IolR	SMA643_006092	Chrs	SMA643_004167	pSymA	regulated
IolR	SMA643_006092	Chrs	SMA643_004349	UnMapped	regulated
IolR	SMA643_006092	Chrs	SMA643_004350	UnMapped	operon
IolR	SMA643_006092	Chrs	SMA643_004351	UnMapped	operon
IolR	SMA643_006092	Chrs	SMA643_004609	pSymB	regulated
IolR	SMA643_006092	Chrs	SMA643_004784	pSymB	regulated
IolR	SMA643_006092	Chrs	SMA643_006091	Chrs	regulated
IolR	SMA643_006092	Chrs	SMA643_006214	Chrs	regulated
IolR	SMA643_006092	Chrs	SMA643_006215	Chrs	operon
IolR	SMA643_006092	Chrs	SMA643_007166	UnMapped	regulated
