#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SMC431_003627	Chrs	SMC431_000441	Chrs	regulated
AglR	SMC431_003627	Chrs	SMC431_000442	Chrs	operon
AglR	SMC431_003627	Chrs	SMC431_000498	Chrs	regulated
AglR	SMC431_003627	Chrs	SMC431_000499	Chrs	operon
AglR	SMC431_003627	Chrs	SMC431_000500	Chrs	operon
AglR	SMC431_003627	Chrs	SMC431_003626	Chrs	regulated
AglR	SMC431_003627	Chrs	SMC431_003628	Chrs	operon
AglR	SMC431_003627	Chrs	SMC431_004252	pSymB	regulated
AglR	SMC431_003627	Chrs	SMC431_004253	pSymB	regulated
AglR	SMC431_003627	Chrs	SMC431_004254	pSymB	operon
AglR	SMC431_003627	Chrs	SMC431_004255	pSymB	operon
AglR	SMC431_003627	Chrs	SMC431_004256	pSymB	operon
AglR	SMC431_003627	Chrs	SMC431_004257	pSymB	operon
BetI	SMC431_007301	Chrs	SMC431_007302	Chrs	regulated
ChpR	SMC431_002961	pSymB	SMC431_002960	pSymB	regulated
ChvI	SMC431_004018	Chrs	SMC431_002576	Chrs	regulated
ChvI	SMC431_004018	Chrs	SMC431_002577	Chrs	operon
DctD	SMC431_000648	pSymB	SMC431_000644	pSymB	regulated
ExpG	SMC431_004288	pSymB	SMC431_000873	pSymA	regulated
ExpG	SMC431_004288	pSymB	SMC431_000874	pSymA	regulated
ExpG	SMC431_004288	pSymB	SMC431_000875	pSymA	operon
ExpG	SMC431_004288	pSymB	SMC431_000876	pSymA	operon
ExpG	SMC431_004288	pSymB	SMC431_004285	pSymB	regulated
ExpG	SMC431_004288	pSymB	SMC431_004286	pSymB	operon
ExpG	SMC431_004288	pSymB	SMC431_004287	pSymB	regulated
ExpG	SMC431_004288	pSymB	SMC431_004290	pSymB	regulated
ExpG	SMC431_004288	pSymB	SMC431_004291	pSymB	operon
FixJ	SMC431_004102	pSymA	SMC431_004103	pSymA	regulated
FixJ	SMC431_004102	pSymA	SMC431_004104	pSymA	operon
FixK1	SMC431_001898	pSymA	SMC431_000522	pSymA	regulated
