#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	M210v1_470082	Chrs	M210v1_470083	Chrs	regulated
AglR	M210v1_470082	Chrs	M210v1_470084	Chrs	operon
AglR	M210v1_470082	Chrs	M210v1_470085	Chrs	operon
AglR	M210v1_470082	Chrs	M210v1_470086	Chrs	operon
AglR	M210v1_470082	Chrs	M210v1_660011	Chrs	regulated
AglR	M210v1_470082	Chrs	M210v1_660012	Chrs	operon
AglR	M210v1_470082	Chrs	M210v1_80068	Chrs	regulated
AglR	M210v1_470082	Chrs	M210v1_80069	Chrs	operon
AglR	M210v1_470082	Chrs	M210v1_80070	Chrs	operon
AglR	M210v1_470082	Chrs	M210v1_80071	Chrs	operon
AglR	M210v1_470082	Chrs	M210v1_850038	Chrs	regulated
AglR	M210v1_470082	Chrs	M210v1_psym1490008	pSymA	regulated
AglR	M210v1_470082	Chrs	M210v1_psym1490009	pSymA	regulated
BetI	M210v1_1130084	Chrs	M210v1_1130085	Chrs	regulated
ChpR	M210v1_pld310034	pSymB	M210v1_pld310035	pSymB	regulated
ChvI	M210v1_370005	Chrs	M210v1_340025	Chrs	regulated
ChvI	M210v1_370005	Chrs	M210v1_340026	Chrs	operon
ChvI	M210v1_370005	Chrs	M210v1_370006	Chrs	operon
ChvI	M210v1_370005	Chrs	M210v1_370007	Chrs	operon
DctD	M210v1_pld490084	pSymB	M210v1_pld490082	pSymB	regulated
ExpG	M210v1_pld1400089	pSymB	M210v1_pld1400090	pSymB	regulated
ExpG	M210v1_pld1400089	pSymB	M210v1_pld1400091	pSymB	operon
FixJ	M210v1_psym810054	pSymA	M210v1_psym810055	pSymA	operon
FixK1	M210v1_psym810052	pSymA	M210v1_1020011	Chrs	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_1030003	UnMapped	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_1030004	UnMapped	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_1130032	Chrs	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_1130033	Chrs	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_1130034	Chrs	operon
FixK1	M210v1_psym810052	pSymA	M210v1_1130035	Chrs	operon
FixK1	M210v1_psym810052	pSymA	M210v1_1130036	Chrs	operon
FixK1	M210v1_psym810052	pSymA	M210v1_1130037	Chrs	operon
FixK1	M210v1_psym810052	pSymA	M210v1_1130038	Chrs	operon
FixK1	M210v1_psym810052	pSymA	M210v1_1440031	UnMapped	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_1440032	UnMapped	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_1440033	UnMapped	operon
FixK1	M210v1_psym810052	pSymA	M210v1_190011	UnMapped	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_190012	UnMapped	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_pld1210004	UnMapped	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_psym400029	pSymA	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_psym400030	pSymA	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_psym620068	pSymA	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_psym620069	pSymA	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_psym810023	pSymA	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_psym810024	pSymA	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_psym810053	pSymA	regulated
FixK1	M210v1_psym810052	pSymA	M210v1_psym810054	pSymA	operon
FixK1	M210v1_psym810052	pSymA	M210v1_psym810055	pSymA	operon
