#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SM1A42_003741	Chrs	SM1A42_000397	pSymA	regulated
AglR	SM1A42_003741	Chrs	SM1A42_000655	Chrs	regulated
AglR	SM1A42_003741	Chrs	SM1A42_000656	Chrs	operon
AglR	SM1A42_003741	Chrs	SM1A42_000657	Chrs	operon
AglR	SM1A42_003741	Chrs	SM1A42_000658	Chrs	operon
AglR	SM1A42_003741	Chrs	SM1A42_000659	Chrs	regulated
AglR	SM1A42_003741	Chrs	SM1A42_001656	pSymB	regulated
AglR	SM1A42_003741	Chrs	SM1A42_001657	pSymB	regulated
AglR	SM1A42_003741	Chrs	SM1A42_001658	pSymB	operon
AglR	SM1A42_003741	Chrs	SM1A42_001659	pSymB	operon
AglR	SM1A42_003741	Chrs	SM1A42_001660	pSymB	operon
AglR	SM1A42_003741	Chrs	SM1A42_003740	Chrs	regulated
AglR	SM1A42_003741	Chrs	SM1A42_003742	Chrs	operon
AglR	SM1A42_003741	Chrs	SM1A42_005917	Chrs	regulated
AglR	SM1A42_003741	Chrs	SM1A42_005918	Chrs	operon
BetI	SM1A42_006878	Chrs	SM1A42_001795	pSymB	regulated
BetI	SM1A42_006878	Chrs	SM1A42_001796	pSymB	operon
BetI	SM1A42_006878	Chrs	SM1A42_001797	pSymB	operon
BetI	SM1A42_006878	Chrs	SM1A42_006877	Chrs	regulated
ChpR	SM1A42_000140	pSymB	SM1A42_000139	pSymB	regulated
DctD	SM1A42_005458	pSymB	SM1A42_005460	pSymB	regulated
ExpG	SM1A42_001691	pSymB	SM1A42_001687	pSymB	regulated
ExpG	SM1A42_001691	pSymB	SM1A42_001690	pSymB	regulated
ExpG	SM1A42_001691	pSymB	SM1A42_001693	pSymB	regulated
ExpG	SM1A42_001691	pSymB	SM1A42_001694	pSymB	operon
FixJ	SM1A42_001991	pSymA	SM1A42_001992	pSymA	operon
FixK1	SM1A42_004253	UnMapped	SM1A42_000213	pSymA	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_000226	pSymA	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_001990	pSymA	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_001991	pSymA	operon
FixK1	SM1A42_004253	UnMapped	SM1A42_001992	pSymA	operon
FixK1	SM1A42_004253	UnMapped	SM1A42_002379	UnMapped	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_002922	pSymA	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_002923	pSymA	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_003333	Chrs	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_003334	Chrs	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_003335	Chrs	operon
FixK1	SM1A42_004253	UnMapped	SM1A42_004252	UnMapped	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_007086	pSymA	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_007087	pSymA	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_007094	pSymA	regulated
FixK1	SM1A42_004253	UnMapped	SM1A42_007095	pSymA	regulated
Fur	SM1A42_004883	Chrs	SM1A42_004882	Chrs	regulated
