#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_1090008	Chrs	regulated
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_1490044	Chrs	regulated
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_350081	Chrs	regulated
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_350082	Chrs	regulated
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_350083	Chrs	operon
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_350084	Chrs	operon
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_350085	Chrs	operon
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_890045	Chrs	regulated
AglR	HM013SM1v1_350080	Chrs	HM013SM1v1_psym200221	pSymA	regulated
BetI	HM013SM1v1_290129	Chrs	HM013SM1v1_290130	Chrs	regulated
ChpR	HM013SM1v1_pld1170029	pSymB	HM013SM1v1_pld1170030	pSymB	regulated
ChvI	HM013SM1v1_590014	Chrs	HM013SM1v1_1190076	Chrs	regulated
DctD	HM013SM1v1_pld230117	pSymB	HM013SM1v1_psym200218	pSymA	regulated
ExpG	HM013SM1v1_pld1350081	pSymB	HM013SM1v1_pld1350082	pSymB	regulated
ExpG	HM013SM1v1_pld1350081	pSymB	HM013SM1v1_pld1350083	pSymB	operon
ExpG	HM013SM1v1_pld1350081	pSymB	HM013SM1v1_psym1310075	pSymA	regulated
ExpG	HM013SM1v1_pld1350081	pSymB	HM013SM1v1_psym1310076	pSymA	regulated
FixJ	HM013SM1v1_psym340057	pSymA	HM013SM1v1_180089	pSymA	regulated
FixJ	HM013SM1v1_psym340057	pSymA	HM013SM1v1_psym340058	pSymA	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_120001	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_120002	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_1650016	Chrs	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_1650017	Chrs	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_1650018	Chrs	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_180089	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290076	Chrs	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290077	Chrs	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290078	Chrs	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290079	Chrs	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290080	Chrs	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290081	Chrs	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290082	Chrs	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290083	Chrs	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_290084	Chrs	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_740002	Chrs	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_810001	pSymB	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_880061	UnMapped	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1400005	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1400006	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1400007	pSymA	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1400008	pSymA	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1400009	pSymA	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1510078	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1510079	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1510080	pSymA	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym1550015	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym340026	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym340027	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym340056	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym340057	pSymA	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym340058	pSymA	operon
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym490006	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym490011	pSymA	regulated
FixK1	HM013SM1v1_psym340055	pSymA	HM013SM1v1_psym490012	pSymA	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_120001	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_120002	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_1650016	Chrs	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_1650017	Chrs	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_1650018	Chrs	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_180089	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290076	Chrs	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290077	Chrs	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290078	Chrs	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290079	Chrs	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290080	Chrs	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290081	Chrs	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290082	Chrs	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290083	Chrs	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_290084	Chrs	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_740002	Chrs	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_810001	pSymB	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_880061	UnMapped	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1400005	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1400006	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1400007	pSymA	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1400008	pSymA	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1400009	pSymA	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1510078	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1510079	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1510080	pSymA	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym1550015	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym340026	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym340027	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym340056	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym340057	pSymA	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym340058	pSymA	operon
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym490006	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym490011	pSymA	regulated
FixK1	HM013SM1v1_psym1400004	pSymA	HM013SM1v1_psym490012	pSymA	operon
Fur	HM013SM1v1_830052	Chrs	HM013SM1v1_830051	Chrs	regulated
Fur	HM013SM1v1_830052	Chrs	HM013SM1v1_psym200232	pSymA	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_1190141	Chrs	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_330003	Chrs	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_380012	Chrs	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_380013	Chrs	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_380014	Chrs	operon
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_380015	Chrs	operon
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_700156	Chrs	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_730002	Chrs	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_pld190046	pSymB	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_pld190047	pSymB	operon
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_pld190048	pSymB	operon
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_pld190049	pSymB	operon
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_pld190050	pSymB	operon
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_psym200058	pSymA	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_psym200059	pSymA	regulated
GlnBK	HM013SM1v1_850059	Chrs	HM013SM1v1_psym200060	pSymA	operon
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_1190141	Chrs	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_330003	Chrs	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_380012	Chrs	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_380013	Chrs	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_380014	Chrs	operon
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_380015	Chrs	operon
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_700156	Chrs	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_730002	Chrs	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_pld190046	pSymB	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_pld190047	pSymB	operon
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_pld190048	pSymB	operon
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_pld190049	pSymB	operon
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_pld190050	pSymB	operon
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_psym200058	pSymA	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_psym200059	pSymA	regulated
GlnBK	HM013SM1v1_240020	Chrs	HM013SM1v1_psym200060	pSymA	operon
HpdR	HM013SM1v1_1580037	Chrs	HM013SM1v1_100019	Chrs	regulated
HpdR	HM013SM1v1_1580037	Chrs	HM013SM1v1_100020	Chrs	operon
HpdR	HM013SM1v1_1580037	Chrs	HM013SM1v1_1460006	UnMapped	regulated
HpdR	HM013SM1v1_1580037	Chrs	HM013SM1v1_1580036	Chrs	regulated
HpdR	HM013SM1v1_1580037	Chrs	HM013SM1v1_pld1000120	pSymB	regulated
IolR	HM013SM1v1_360016	Chrs	HM013SM1v1_260029	Chrs	regulated
IolR	HM013SM1v1_360016	Chrs	HM013SM1v1_260030	Chrs	operon
IolR	HM013SM1v1_360016	Chrs	HM013SM1v1_270001	Chrs	operon
IolR	HM013SM1v1_360016	Chrs	HM013SM1v1_270002	Chrs	operon
IolR	HM013SM1v1_360016	Chrs	HM013SM1v1_270003	Chrs	operon
IolR	HM013SM1v1_360016	Chrs	HM013SM1v1_270004	Chrs	operon
