#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	SM2011_c04260	Chrs	SM2011_b21192	pSymB	regulated
AglR	SM2011_c04260	Chrs	SM2011_b21196	pSymB	regulated
AglR	SM2011_c04260	Chrs	SM2011_b21197	pSymB	operon
AglR	SM2011_c04260	Chrs	SM2011_b21198	pSymB	operon
AglR	SM2011_c04260	Chrs	SM2011_b21199	pSymB	operon
AglR	SM2011_c04260	Chrs	SM2011_c00378	Chrs	regulated
AglR	SM2011_c04260	Chrs	SM2011_c00379	Chrs	operon
AglR	SM2011_c04260	Chrs	SM2011_c03162	Chrs	regulated
AglR	SM2011_c04260	Chrs	SM2011_c04259	Chrs	regulated
BetI	SM2011_c00095	Chrs	SM2011_c00032	Chrs	regulated
ChpR	SM2011_b20702	pSymB	SM2011_b20701	pSymB	regulated
ChvI	SM2011_c02560	Chrs	SM2011_c01580	Chrs	regulated
ChvI	SM2011_c02560	Chrs	SM2011_c01581	Chrs	operon
DctD	SM2011_b20613	pSymB	SM2011_b20611	pSymB	regulated
ExpG	SM2011_b21317	pSymB	SM2011_a1666	pSymA	regulated
ExpG	SM2011_b21317	pSymB	SM2011_a1667	pSymA	regulated
ExpG	SM2011_b21317	pSymB	SM2011_a1668	pSymA	operon
ExpG	SM2011_b21317	pSymB	SM2011_a1670	pSymA	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21314	pSymB	regulated
ExpG	SM2011_b21317	pSymB	SM2011_b21316	pSymB	regulated
ExpG	SM2011_b21317	pSymB	SM2011_b21318	pSymB	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21319	pSymB	regulated
ExpG	SM2011_b21317	pSymB	SM2011_b21320	pSymB	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21321	pSymB	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21322	pSymB	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21323	pSymB	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21324	pSymB	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21325	pSymB	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21326	pSymB	operon
ExpG	SM2011_b21317	pSymB	SM2011_b21327	pSymB	operon
FixJ	SM2011_a1227	pSymA	SM2011_c03247	Chrs	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a0633	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a0636	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a0661	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a0682	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a0748	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1131	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1132	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1134	pSymA	operon
FixK1	SM2011_a0762	pSymA	SM2011_a1146	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1158	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1178	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1179	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1182	pSymA	operon
FixK1	SM2011_a0762	pSymA	SM2011_a1183	pSymA	operon
FixK1	SM2011_a0762	pSymA	SM2011_a1184	pSymA	operon
FixK1	SM2011_a0762	pSymA	SM2011_a1185	pSymA	operon
FixK1	SM2011_a0762	pSymA	SM2011_a1186	pSymA	operon
FixK1	SM2011_a0762	pSymA	SM2011_a1188	pSymA	operon
FixK1	SM2011_a0762	pSymA	SM2011_a1220	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1223	pSymA	operon
FixK1	SM2011_a0762	pSymA	SM2011_a1226	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a1279	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_a2071	pSymA	regulated
FixK1	SM2011_a0762	pSymA	SM2011_b20922	pSymB	regulated
FixK1	SM2011_a0762	pSymA	SM2011_b21395	pSymB	regulated
FixK1	SM2011_a0762	pSymA	SM2011_b21396	pSymB	operon
FixK1	SM2011_a0762	pSymA	SM2011_c00009	Chrs	regulated
FixK1	SM2011_a0762	pSymA	SM2011_c00010	Chrs	operon
FixK1	SM2011_a0762	pSymA	SM2011_c00012	Chrs	operon
FixK1	SM2011_a0762	pSymA	SM2011_c00013	Chrs	operon
FixK1	SM2011_a0762	pSymA	SM2011_c00014	Chrs	operon
FixK1	SM2011_a0762	pSymA	SM2011_c00016	Chrs	operon
FixK1	SM2011_a0762	pSymA	SM2011_c00017	Chrs	operon
FixK1	SM2011_a0762	pSymA	SM2011_c00018	Chrs	operon
FixK1	SM2011_a0762	pSymA	SM2011_c00071	Chrs	regulated
FixK1	SM2011_a0762	pSymA	SM2011_c00085	Chrs	operon
