#Regulator	locus_tag	replicon	locus_tag	replicon	type
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_1410041	Chrs	regulated
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_1960011	Chrs	regulated
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_1960012	Chrs	regulated
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_250011	Chrs	regulated
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_250012	Chrs	operon
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_250013	Chrs	operon
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_250014	Chrs	operon
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_910015	Chrs	regulated
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_psym2020009	pSymA	regulated
AglR	KH48Ev1_1960013	Chrs	KH48Ev1_psym2020010	pSymA	regulated
BetI	KH48Ev1_1230066	Chrs	KH48Ev1_1230067	Chrs	regulated
ChpR	KH48Ev1_pld2040029	pSymB	KH48Ev1_pld2040030	pSymB	regulated
ChvI	KH48Ev1_1180005	Chrs	KH48Ev1_1180006	Chrs	operon
ChvI	KH48Ev1_1180005	Chrs	KH48Ev1_1180007	Chrs	operon
ChvI	KH48Ev1_1180005	Chrs	KH48Ev1_490015	Chrs	regulated
ChvI	KH48Ev1_1180005	Chrs	KH48Ev1_490016	Chrs	operon
DctD	KH48Ev1_pld1950019	pSymB	KH48Ev1_pld1950021	pSymB	regulated
ExpG	KH48Ev1_pld90029	pSymB	KH48Ev1_pld90028	pSymB	regulated
ExpG	KH48Ev1_pld90029	pSymB	KH48Ev1_pld90031	pSymB	regulated
FixJ	KH48Ev1_psym1810003	pSymA	KH48Ev1_680022	Chrs	regulated
FixJ	KH48Ev1_psym1810003	pSymA	KH48Ev1_psym1810004	pSymA	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230011	Chrs	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230012	Chrs	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230013	Chrs	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230014	Chrs	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230015	Chrs	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230016	Chrs	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230017	Chrs	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230018	Chrs	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1230019	Chrs	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_1690002	Chrs	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_680022	Chrs	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_pld1110004	UnMapped	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_pld1110005	UnMapped	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1100046	pSymA	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1100047	pSymA	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1100048	pSymA	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1100049	pSymA	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1810002	pSymA	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1810003	pSymA	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1810004	pSymA	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1900079	pSymA	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1900080	pSymA	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym1900081	pSymA	operon
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym710022	pSymA	regulated
FixK1	KH48Ev1_psym1810001	UnMapped	KH48Ev1_psym710023	pSymA	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230011	Chrs	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230012	Chrs	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230013	Chrs	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230014	Chrs	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230015	Chrs	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230016	Chrs	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230017	Chrs	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230018	Chrs	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1230019	Chrs	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_1690002	Chrs	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_680022	Chrs	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_pld1110004	UnMapped	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_pld1110005	UnMapped	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1100046	pSymA	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1100047	pSymA	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1100048	pSymA	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1100049	pSymA	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1810002	pSymA	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1810003	pSymA	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1810004	pSymA	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1900079	pSymA	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1900080	pSymA	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym1900081	pSymA	operon
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym710022	pSymA	regulated
FixK1	KH48Ev1_psym1830001	pSymA	KH48Ev1_psym710023	pSymA	regulated
Fur	KH48Ev1_1700009	Chrs	KH48Ev1_1700008	Chrs	regulated
Fur	KH48Ev1_1700009	Chrs	KH48Ev1_psym2020021	pSymA	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_1700044	Chrs	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_1720054	Chrs	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_260011	Chrs	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_260012	Chrs	operon
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_440024	Chrs	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_440025	Chrs	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_440026	Chrs	operon
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_570007	Chrs	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_570008	Chrs	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_pld1480043	pSymB	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_pld1480044	pSymB	operon
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_pld1480045	pSymB	operon
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_pld1480046	pSymB	operon
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_pld1480047	pSymB	operon
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_psym1600111	pSymA	regulated
GlnBK	KH48Ev1_230002	Chrs	KH48Ev1_psym1600112	pSymA	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_1700044	Chrs	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_1720054	Chrs	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_260011	Chrs	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_260012	Chrs	operon
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_440024	Chrs	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_440025	Chrs	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_440026	Chrs	operon
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_570007	Chrs	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_570008	Chrs	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_pld1480043	pSymB	regulated
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_pld1480044	pSymB	operon
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_pld1480045	pSymB	operon
GlnBK	KH48Ev1_1090013	Chrs	KH48Ev1_pld1480046	pSymB	operon
